id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJp5B_15uZpgAR7K1DNQ11b2U;Belo Horizonte/MG;Escola Municipal Benjamin Jacob;Rua Venezuela, 643 - Sion, Belo Horizonte;True;OPERATIONAL;-19.9537833;-43.9367863;"[""segunda-feira: 07:00 – 18:00"", ""terça-feira: 07:00 – 18:00"", ""quarta-feira: 07:00 – 18:00"", ""quinta-feira: 07:00 – 18:00"", ""sexta-feira: 07:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9524058197085, 'lng': -43.9355668697085}, 'southwest': {'lat': -19.9551037802915, 'lng': -43.9382648302915}}
ChIJ47Sm3CiZpgARDQTcOR7BoyI;Belo Horizonte/MG;Em Marconi;Beco Santo Agostinho - Santa Rita de Cassia, Belo Horizonte;False;OPERATIONAL;-19.95264929999999;-43.94038370000001;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9512781697085, 'lng': -43.9391503197085}, 'southwest': {'lat': -19.9539761302915, 'lng': -43.9418482802915}}
ChIJqaWlCyiYpgARjROjlEuihNU;Belo Horizonte/MG;Escola Municipal Ulisses Guimarães;Rua São Tomás de Aquino, 754 - Santa Rita de Cassia, Belo Horizonte;False;OPERATIONAL;-19.9538851;-43.9415779;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9525451697085, 'lng': -43.9401831697085}, 'southwest': {'lat': -19.9552431302915, 'lng': -43.9428811302915}}
ChIJJ-4zNSyYpgARlBRFmrJpqmA;Belo Horizonte/MG;Colégio Santa Dorotéia de Belo Horizonte;Rua Chicago, 240 - Sion, Belo Horizonte;True;OPERATIONAL;-19.9535096;-43.93604010000001;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9518272, 'lng': -43.93286830000001}, 'southwest': {'lat': -19.95498359999999, 'lng': -43.9383839}}
ChIJFx6mwYCZpgARkHrRrdohiGk;Belo Horizonte/MG;EMEI Marta Nair Monteiro;Rua União, 18 - Santa Rita de Cassia, Belo Horizonte;False;OPERATIONAL;-19.9536161;-43.9418134;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9522970697085, 'lng': -43.9404870697085}, 'southwest': {'lat': -19.9549950302915, 'lng': -43.9431850302915}}
ChIJfUiD3SuYpgARGCr0K8yEAW0;Belo Horizonte/MG;Escola Municipal Ulisses Guimaraes;Rua Bolívia, 532 - São Pedro, Belo Horizonte;False;OPERATIONAL;-19.9555615;-43.9415683;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9542233697085, 'lng': -43.9402169197085}, 'southwest': {'lat': -19.9569213302915, 'lng': -43.9429148802915}}
ChIJc09-uSmYpgARP6KL9hgLrs8;Belo Horizonte/MG;Creche Nossa Senhora Do Carmo Vila S. Rita De Cassia;Rua União, 83 - Santa Rita de Cassia, Belo Horizonte;False;OPERATIONAL;-19.9534752;-43.9422401;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.95208341970849, 'lng': -43.9408342197085}, 'southwest': {'lat': -19.9547813802915, 'lng': -43.9435321802915}}
ChIJ_xX_xP2ZpgARx-Dd2igI2Vo;Belo Horizonte/MG;Repe - Revolução Pela Educação;Avenida Nossa Senhora do Carmo, 1275 - sala 102 - Sion, Belo Horizonte;True;OPERATIONAL;-19.9511443;-43.9370597;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 17:00"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9497259697085, 'lng': -43.93582811970851}, 'southwest': {'lat': -19.9524239302915, 'lng': -43.93852608029151}}
ChIJxVFh0YqZpgARMckvQ6dZFCQ;Belo Horizonte/MG;TransBatista;Rua União, 240 - Santa Rita de Cassia, Belo Horizonte;True;OPERATIONAL;-19.95370780000001;-43.94292610000001;"[""segunda-feira: 06:00 – 19:00"", ""terça-feira: 06:00 – 19:00"", ""quarta-feira: 06:00 – 19:00"", ""quinta-feira: 06:00 – 19:00"", ""sexta-feira: 06:00 – 19:00"", ""sábado: 06:00 – 19:00"", ""domingo: Atendimento 24 horas""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9523567697085, 'lng': -43.9415798697085}, 'southwest': {'lat': -19.9550547302915, 'lng': -43.9442778302915}}
ChIJ4fTsboeXpgARxhMuvaZx3-k;Belo Horizonte/MG;Grupo de Amigos da Criança;Rua Principal, 1041 - Santa Rita de Cassia, Belo Horizonte;False;OPERATIONAL;-19.9567731;-43.9418582;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -19.9554294697085, 'lng': -43.9405191197085}, 'southwest': {'lat': -19.9581274302915, 'lng': -43.9432170802915}}
