id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJw0EqHiJ_mQARzufn7EW3Bck;Rio de Janeiro/RJ;Teles Lustrador;Rua Frei Caneca, 418 - Estácio, Rio de Janeiro;True;OPERATIONAL;-22.9138532;-43.2004023;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 13:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9125664197085, 'lng': -43.19908176970851}, 'southwest': {'lat': -22.9152643802915, 'lng': -43.20177973029151}}
ChIJ58bYSpB_mQARswH48WcsG88;Rio de Janeiro/RJ;Oficina Automotiva Fernando Silva;Rua Frei Caneca, 416 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9139307;-43.20035969999999;"[""segunda-feira: 08:30 – 17:00"", ""terça-feira: 08:30 – 17:00"", ""quarta-feira: 08:30 – 17:00"", ""quinta-feira: 08:30 – 17:00"", ""sexta-feira: 08:30 – 17:00"", ""sábado: 08:30 – 22:30"", ""domingo: 08:00 – 12:00""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9126180697085, 'lng': -43.1990283197085}, 'southwest': {'lat': -22.9153160302915, 'lng': -43.2017262802915}}
ChIJYwpTpth_mQAR-XohsQTsw5Y;Rio de Janeiro/RJ;Edivan ar-condicionado para auto;Rua Frei Caneca, 416B - Estácio, Rio de Janeiro;True;OPERATIONAL;-22.9139307;-43.20035969999999;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9126180697085, 'lng': -43.1990283197085}, 'southwest': {'lat': -22.9153160302915, 'lng': -43.2017262802915}}
ChIJa4S1v5F-mQARAekGbsvIG2c;Rio de Janeiro/RJ;Oficina mecânica São Jorge;Rua Frei Caneca, 416 - Centro, Rio de Janeiro;True;OPERATIONAL;-22.9139307;-43.20035969999999;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 08:00 – 17:00"", ""domingo: 08:00 – 17:00""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9126180697085, 'lng': -43.1990283197085}, 'southwest': {'lat': -22.9153160302915, 'lng': -43.2017262802915}}
ChIJa1gwsG9_mQARXL1AzEC1mPg;Rio de Janeiro/RJ;Superação Letreiros;Rua Frei Caneca, 414 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9139484;-43.20034169999999;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9126314697085, 'lng': -43.1990082697085}, 'southwest': {'lat': -22.9153294302915, 'lng': -43.2017062302915}}
ChIJYeDGPgl_mQAR9ostAv7zZuc;Rio de Janeiro/RJ;Casa De Oração Ministério Fé E Obras;Rua Frei Caneca, 414 - Cidade Nova, Rio de Janeiro;False;OPERATIONAL;-22.91395769999999;-43.2003545;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9126318697085, 'lng': -43.1990167697085}, 'southwest': {'lat': -22.9153298302915, 'lng': -43.2017147302915}}
ChIJe8t_WfVmmQARpae3_m_YWrc;Rio de Janeiro/RJ;Vidraçaria Jordão;Rua Frei Caneca, 420 - Loja 2 - Centro, Rio de Janeiro;True;OPERATIONAL;-22.9138089;-43.2005063;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9125237697085, 'lng': -43.19918656970849}, 'southwest': {'lat': -22.9152217302915, 'lng': -43.20188453029149}}
ChIJrRTHkxx_mQARXMVwgm8JcNA;Rio de Janeiro/RJ;deline;Rua Viscondessa de Pirassununga, 81 - Cidade Nova, Rio de Janeiro;False;OPERATIONAL;-22.9139991;-43.2001607;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9126920697085, 'lng': -43.19883206970851}, 'southwest': {'lat': -22.9153900302915, 'lng': -43.20153003029151}}
ChIJgz7twwh_mQAR36zclaueMSg;Rio de Janeiro/RJ;Rio de Janeiro Secretaria de Est de Segurança Publica3;Rua Frei Caneca, 408 - Estácio, Rio de Janeiro;False;OPERATIONAL;-22.9140183;-43.2001574;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9127034697085, 'lng': -43.1988260197085}, 'southwest': {'lat': -22.9154014302915, 'lng': -43.2015239802915}}
ChIJz7Y7Pwl_mQARfpvxeeVWdEk;Rio de Janeiro/RJ;Madeiras Estácio;Rua Frei Caneca, 408 - e 410 - Estácio, Rio de Janeiro;True;OPERATIONAL;-22.9140255;-43.2001601;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""general_contractor"", ""store"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.91270726970849, 'lng': -43.1988269697085}, 'southwest': {'lat': -22.9154052302915, 'lng': -43.2015249302915}}
ChIJ49yzPQl_mQARStdR87hkd0o;Rio de Janeiro/RJ;BRS 1,2,4,I: Viscondessa de Piracinunga;Brazil;False;OPERATIONAL;-22.91401;-43.20054;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9126358197085, 'lng': -43.19917951970849}, 'southwest': {'lat': -22.9153337802915, 'lng': -43.20187748029149}}
ChIJ7fC2PAl_mQARyuUc74f7fck;Rio de Janeiro/RJ;Boteco do Pintinho;Rua Frei Caneca, 424 - Estácio, Rio de Janeiro;True;OPERATIONAL;-22.9137755;-43.20068889999999;"[""segunda-feira: 06:00 – 00:00"", ""terça-feira: 06:00 – 00:00"", ""quarta-feira: 06:00 – 00:00"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: 06:00 – 00:00""]";"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9124803197085, 'lng': -43.1993689197085}, 'southwest': {'lat': -22.9151782802915, 'lng': -43.2020668802915}}
ChIJw99nQQl_mQARbpdhqAw_5y4;Rio de Janeiro/RJ;LICOV8;Rua Frei Caneca, 402 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9140796;-43.2000118;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9127657197085, 'lng': -43.1986809197085}, 'southwest': {'lat': -22.9154636802915, 'lng': -43.20137888029149}}
ChIJJ4xfg4IdvQARiOzj-FeTSDs;Rio de Janeiro/RJ;Sítio São Sebastião da Boa Vista - entrada;Rua Viscondessa de Pirassununga, 81 - Cidade Nova, Rio de Janeiro;False;OPERATIONAL;-22.9137902;-43.2007218;"[""Não disponível""]";"[""place_of_worship"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9124774697085, 'lng': -43.1993877197085}, 'southwest': {'lat': -22.9151754302915, 'lng': -43.2020856802915}}
ChIJYbw_Ql5_mQAR2Bt6GLt049o;Rio de Janeiro/RJ;Estacionamento;Rua Viscondessa de Pirassununga, 97 - Cidade Nova, Rio de Janeiro;False;OPERATIONAL;-22.9135588;-43.20064910000001;"[""Não disponível""]";"[""parking"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9122054697085, 'lng': -43.1993777697085}, 'southwest': {'lat': -22.9149034302915, 'lng': -43.2020757302915}}
ChIJgSYGhYd_mQAR3zV-DemEWI4;Rio de Janeiro/RJ;SIGI Limpeza de estofado;rua frei caneca, Rua Neco Do Estácio, 441 - Centro, Rio de Janeiro;True;OPERATIONAL;-22.914195;-43.2004931;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""laundry"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9127493197085, 'lng': -43.1990972197085}, 'southwest': {'lat': -22.9154472802915, 'lng': -43.2017951802915}}
ChIJ0aQrOwl_mQARgdoy1qxD7GM;Rio de Janeiro/RJ;Rocel Transportes;Rua Viscondessa de Pirassununga, 97 - Loja A - Cidade Nova, Rio de Janeiro;False;OPERATIONAL;-22.9136906;-43.2007631;"[""Não disponível""]";"[""car_rental"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9123407197085, 'lng': -43.1994303697085}, 'southwest': {'lat': -22.9150386802915, 'lng': -43.20212833029149}}
ChIJS2d1VP5_mQARlylHI3dInrw;Rio de Janeiro/RJ;Estacionamento cidade nova;Rua Viscondessa de Pirassununga, 87 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.913491;-43.200663;"[""segunda-feira: 06:30 – 23:00"", ""terça-feira: 06:30 – 23:00"", ""quarta-feira: 06:30 – 23:00"", ""quinta-feira: 06:30 – 23:00"", ""sexta-feira: 06:30 – 23:00"", ""sábado: 06:30 – 23:00"", ""domingo: 07:30 – 22:00""]";"[""parking"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9121381697085, 'lng': -43.19938251970849}, 'southwest': {'lat': -22.9148361302915, 'lng': -43.20208048029149}}
ChIJ__-vRgl_mQARSYRGr2JAZgY;Rio de Janeiro/RJ;TURBO DIESEL UBERLANDIA;NUMERO, Rua Frei Caneca, 400 - Estácio, Rio de Janeiro;False;OPERATIONAL;-22.91403159999999;-43.1998728;"[""Não disponível""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9127621197085, 'lng': -43.1985647697085}, 'southwest': {'lat': -22.9154600802915, 'lng': -43.2012627302915}}
ChIJgY69NQl_mQARYAW2AdbVsFg;Rio de Janeiro/RJ;Crisval Táxi;Rua Senhor de Matosinhos, 387 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9133504;-43.20021130000001;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""finance"", ""point_of_interest"", ""establishment""]";shopping_center;{'northeast': {'lat': -22.9119211697085, 'lng': -43.1988633197085}, 'southwest': {'lat': -22.91461913029151, 'lng': -43.2015612802915}}
