id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJnUTLvOI9uAARgqFbrLYQCFo;Vitória/ES;tiago;Rua José Marcelino - Centro, Vitória;False;OPERATIONAL;-20.3203085;-40.3372432;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3189656197085, 'lng': -40.3358920197085}, 'southwest': {'lat': -20.3216635802915, 'lng': -40.33858998029149}}
ChIJzVDT07o9uAARfCL9ZwD6m4Q;Vitória/ES;MSA;Rua Dionísio Rosendo, 155 - Centro, Vitória;False;OPERATIONAL;-20.3205229;-40.33741949999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3191337197085, 'lng': -40.33607576970849}, 'southwest': {'lat': -20.3218316802915, 'lng': -40.33877373029149}}
ChIJVbKHGQA9uAAR1Hq558ol_aQ;Vitória/ES;Centro Cultural Casa Verde;Rua Dionísio Rosendo, 120 - Centro, Vitória;False;OPERATIONAL;-20.3202893;-40.3371533;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3189794197085, 'lng': -40.3357863697085}, 'southwest': {'lat': -20.3216773802915, 'lng': -40.3384843302915}}
ChIJJcjz07o9uAARjYPrDNWNo-E;Vitória/ES;Vidraçaria Cristal;Rua Dionísio Rosendo, 120 - Centro, Vitória;True;OPERATIONAL;-20.3202893;-40.3371533;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3189791697085, 'lng': -40.3357870697085}, 'southwest': {'lat': -20.3216771302915, 'lng': -40.3384850302915}}
ChIJ_9lnNqU9uAARu_G4r-RWods;Vitória/ES;Associação Profissional Trab de Bloco Portos;Rua José Marcelino, 55 - Centro, Vitória;False;OPERATIONAL;-20.3202812;-40.3376503;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3189298197085, 'lng': -40.3363000197085}, 'southwest': {'lat': -20.3216277802915, 'lng': -40.3389979802915}}
ChIJI5JFxg09uAARQK7IGdTfWCw;Vitória/ES;Armazém do Campo - MST - ES;Rua Dionísio Rosendo, 120 - Centro, Vitória;True;OPERATIONAL;-20.3203413;-40.33715159999999;"[""segunda-feira: Fechado"", ""terça-feira: 12:00 – 18:00"", ""quarta-feira: 12:00 – 18:00"", ""quinta-feira: 12:00 – 18:00"", ""sexta-feira: 12:00 – 18:00"", ""sábado: 09:00 – 13:00"", ""domingo: Fechado""]";"[""store"", ""food"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3189960197085, 'lng': -40.33580091970851}, 'southwest': {'lat': -20.3216939802915, 'lng': -40.33849888029151}}
ChIJ8bsEzro9uAARrFFJFJjWymM;Vitória/ES;Sindepres;Condomínio do Edifício Renata - Rua Dionísio Rosendo, 155 - Centro, Vitória;False;OPERATIONAL;-20.3205356;-40.33743129999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3191409697085, 'lng': -40.3360883697085}, 'southwest': {'lat': -20.3218389302915, 'lng': -40.33878633029149}}
ChIJz_aL07o9uAARanGGPz3wxos;Vitória/ES;Coelho e Friço Consultoria Jurídica;Condomínio do Edifício Renata - Rua Dionísio Rosendo, 155 - Centro, Vitória;False;OPERATIONAL;-20.3205356;-40.33743129999999;"[""Não disponível""]";"[""lawyer"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3191409697085, 'lng': -40.3360883697085}, 'southwest': {'lat': -20.3218389302915, 'lng': -40.33878633029149}}
ChIJhTHc07o9uAARoNT0W8QqXOE;Vitória/ES;Idílio Bozi;Condomínio do Edifício Renata - Rua Dionísio Rosendo, 155 - Centro, Vitória;False;OPERATIONAL;-20.3205356;-40.33743129999999;"[""Não disponível""]";"[""lawyer"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3191409697085, 'lng': -40.3360883697085}, 'southwest': {'lat': -20.3218389302915, 'lng': -40.33878633029149}}
ChIJhTHc07o9uAARYzVr0IrC-NM;Vitória/ES;Lisboa Advocacia;Condomínio do Edifício Renata - Rua Dionísio Rosendo, 155 - Centro, Vitória;False;OPERATIONAL;-20.3205356;-40.33743129999999;"[""Não disponível""]";"[""lawyer"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -20.3191409697085, 'lng': -40.3360883697085}, 'southwest': {'lat': -20.3218389302915, 'lng': -40.33878633029149}}
