id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJUf5A4Od_mQARb2MOlweTsn8;Rio de Janeiro/RJ;IBMR - Polo RJ-Cidade Nova;Rua Neri Pinheiro, 320 - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9121564;-43.20285980000001;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 13:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9108145697085, 'lng': -43.20147401970851}, 'southwest': {'lat': -22.9135125302915, 'lng': -43.2041719802915}}
ChIJTyCPwxx_mQARsVuajO3mSrk;Rio de Janeiro/RJ;Estácio de Sá centro;Rua Frei Caneca, 525 - Estácio, Rio de Janeiro;False;OPERATIONAL;-22.9154626;-43.2064759;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.91409616970849, 'lng': -43.2050660697085}, 'southwest': {'lat': -22.9167941302915, 'lng': -43.2077640302915}}
ChIJTXRTZQB_mQARyZvvIDacbGc;Rio de Janeiro/RJ;UNIG - Rio de Janeiro - Centro do Rio;Rua Beatriz Larragoiti Lucas, s/n - Cidade Nova, Rio de Janeiro;True;OPERATIONAL;-22.9118654;-43.2080262;"[""segunda-feira: 08:00 – 22:00"", ""terça-feira: 08:00 – 22:00"", ""quarta-feira: 08:00 – 22:00"", ""quinta-feira: 08:00 – 22:00"", ""sexta-feira: 08:00 – 22:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9105069697085, 'lng': -43.2066451197085}, 'southwest': {'lat': -22.9132049302915, 'lng': -43.2093430802915}}
ChIJ1TbLn21_mQAR483KFzxkDAQ;Rio de Janeiro/RJ;Universidade Federal do Estado do Rio de Janeiro, Instituto Biomédico;Rua Frei Caneca, 94 - Centro, Rio de Janeiro;False;OPERATIONAL;-22.9102449;-43.1923896;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9087278697085, 'lng': -43.1908768697085}, 'southwest': {'lat': -22.9114258302915, 'lng': -43.19357483029149}}
ChIJVVWRxmx_mQARIiA6kmq36TE;Rio de Janeiro/RJ;CBM UNICBE;Rua Frederico Silva, Praça Onze, 86 - Centro, Rio de Janeiro;False;OPERATIONAL;-22.9072853;-43.1932728;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9058604197085, 'lng': -43.1919521197085}, 'southwest': {'lat': -22.9085583802915, 'lng': -43.1946500802915}}
ChIJC0Rv-Wx_mQAR0leSV_mHsEM;Rio de Janeiro/RJ;Faculdade do Rio de Janeiro - UNIESP S.A;Rua General Caldwell, 197 - Centro, Rio de Janeiro;False;OPERATIONAL;-22.9082943;-43.19192669999999;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9069674197085, 'lng': -43.1906406197085}, 'southwest': {'lat': -22.9096653802915, 'lng': -43.1933385802915}}
ChIJea_s-2x_mQARHqmK4tV12Yg;Rio de Janeiro/RJ;Sociedade Unificada de Ensino Superior e Cultura - SUESC;Rua General Caldwell, 197 - Centro, Rio de Janeiro;True;OPERATIONAL;-22.9082732;-43.191864;"[""segunda-feira: 06:00 – 22:00"", ""terça-feira: 06:00 – 22:00"", ""quarta-feira: 06:00 – 22:00"", ""quinta-feira: 06:00 – 22:00"", ""sexta-feira: 06:00 – 22:00"", ""sábado: 06:00 – 17:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9069623697085, 'lng': -43.1906083197085}, 'southwest': {'lat': -22.9096603302915, 'lng': -43.19330628029149}}
ChIJ_bXtDGx_mQARtxhOXg_iDpg;Rio de Janeiro/RJ;Faculdade Nacional de Direito - FND/UFRJ;Rua Moncorvo Filho, 8 - Centro, Rio de Janeiro;False;OPERATIONAL;-22.9073317;-43.1906342;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9060019197085, 'lng': -43.1892314697085}, 'southwest': {'lat': -22.9086998802915, 'lng': -43.19192943029149}}
ChIJB4lPmiR_mQAR3KCkmbMttYA;Rio de Janeiro/RJ;Graduação EAD Premium Unifacvest;Rua Sampaio Viana, 347 - Rio Comprido, Rio de Janeiro;False;OPERATIONAL;-22.9217817;-43.2101316;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9204433197085, 'lng': -43.2087478197085}, 'southwest': {'lat': -22.9231412802915, 'lng': -43.2114457802915}}
ChIJefp9s61_mQARXb3AC37ALQc;Rio de Janeiro/RJ;Espaço Theu | Realizações Educacionais;Rua Sampaio Viana, 347 - Rio Comprido, Rio de Janeiro;False;OPERATIONAL;-22.9217817;-43.2101316;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9204433197085, 'lng': -43.2087478197085}, 'southwest': {'lat': -22.9231412802915, 'lng': -43.2114457802915}}
ChIJJzHV9Oh_mQARvvQ8BdPne-4;Rio de Janeiro/RJ;prevlogic;Rua Haddock Lobo, 210 - Apt 220 - Tijuca, Rio de Janeiro;True;OPERATIONAL;-22.9183344;-43.2131337;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9171278197085, 'lng': -43.21167956970851}, 'southwest': {'lat': -22.9198257802915, 'lng': -43.21437753029151}}
ChIJ_9RDlv9-mQARTmpLjyvFddI;Rio de Janeiro/RJ;Centro de Saúde e Pesquisa da Universidade Veiga de Almeida;Praça da Bandeira, 149 - Tijuca, Rio de Janeiro;True;OPERATIONAL;-22.9118614;-43.2142448;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""physiotherapist"", ""dentist"", ""health"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9103861697085, 'lng': -43.2129783697085}, 'southwest': {'lat': -22.9130841302915, 'lng': -43.2156763302915}}
ChIJRcJqSQB_mQARfB64o9yAfUU;Rio de Janeiro/RJ;NAI - Núcleo de Acessibilidade e Inclusão da Fundação Cecierj;Praça Cristiano Otoni, s/n - sala 625 - Centro, Rio de Janeiro;True;OPERATIONAL;-22.9037534;-43.1909575;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 12:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9023521197085, 'lng': -43.1894406697085}, 'southwest': {'lat': -22.9050500802915, 'lng': -43.1921386302915}}
ChIJK9ysqEZ_mQARLCVwQRfq0jk;Rio de Janeiro/RJ;Faculdade e Universidade Estácio de Sá Central do Brasil - Polo EAD;Praça Cristiano Otoni, S/N - Centro, Rio de Janeiro;True;OPERATIONAL;-22.90374569999999;-43.1909572;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 09:00 – 13:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9023335197085, 'lng': -43.1894465197085}, 'southwest': {'lat': -22.9050314802915, 'lng': -43.1921444802915}}
ChIJpdZKq3F_mQARdJJVzb-8RGs;Rio de Janeiro/RJ;Escola Nacional de Ciências Estatísticas;Rua André Cavalcanti, 106 - Centro, Rio de Janeiro;True;OPERATIONAL;-22.9168118;-43.18622450000001;"[""segunda-feira: 07:00 – 22:00"", ""terça-feira: 07:00 – 22:00"", ""quarta-feira: 07:00 – 22:00"", ""quinta-feira: 07:00 – 22:00"", ""sexta-feira: 07:00 – 22:00"", ""sábado: 07:00 – 22:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9154360197085, 'lng': -43.18480776970851}, 'southwest': {'lat': -22.9181339802915, 'lng': -43.18750573029151}}
ChIJWbDyOFV-mQARwoFNUQKoavE;Rio de Janeiro/RJ;Colégio Adventista da Tijuca;Travessa Doutor Araújo, 215 - Tijuca, Rio de Janeiro;True;OPERATIONAL;-22.914816;-43.2147354;"[""segunda-feira: 08:00 – 18:30"", ""terça-feira: 08:00 – 18:30"", ""quarta-feira: 08:00 – 18:30"", ""quinta-feira: 08:00 – 18:30"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""primary_school"", ""university"", ""school"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9135178197085, 'lng': -43.2133490197085}, 'southwest': {'lat': -22.9162157802915, 'lng': -43.21604698029149}}
ChIJk9MZnA9_mQAR9lIpVhKgG4M;Rio de Janeiro/RJ;Polo Estácio EAD;ESTAÇÃO FERROVIÁRIA DA CENTRAL DO BRASIL - Praça Cristiano Otoni, S/N - Centro, Rio de Janeiro;False;OPERATIONAL;-22.903362;-43.191181;"[""segunda-feira: 09:00 – 12:00, 13:00 – 18:00"", ""terça-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quarta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""quinta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sexta-feira: 09:00 – 12:00, 13:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9018346697085, 'lng': -43.1896848197085}, 'southwest': {'lat': -22.9045326302915, 'lng': -43.1923827802915}}
ChIJp--oNwB_mQARDADDBIjTbGI;Rio de Janeiro/RJ;Antigo Instituto Eletrotécnico da UFRJ;Praça da República, 22 - Centro, Rio de Janeiro;False;OPERATIONAL;-22.9081248;-43.18605300000001;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.90680116970849, 'lng': -43.18476211970851}, 'southwest': {'lat': -22.9094991302915, 'lng': -43.18746008029151}}
ChIJ0fAOJ19_mQARIOcO1Px3fEU;Rio de Janeiro/RJ;Faculdade e Universidade Estácio Rio Comprido - POLO EAD;Rua do Bispo, 13 - Rio Comprido, Rio de Janeiro;True;OPERATIONAL;-22.924966;-43.210081;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: 09:00 – 13:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.92354466970849, 'lng': -43.20874311970849}, 'southwest': {'lat': -22.9262426302915, 'lng': -43.21144108029149}}
ChIJMfJ-SrJ_mQAR3FR-dRyejlQ;Rio de Janeiro/RJ;UniCarioca;Avenida Paulo de Frontin, 568 - Rio Comprido, Rio de Janeiro;True;OPERATIONAL;-22.926352;-43.2097965;"[""segunda-feira: 07:00 – 22:00"", ""terça-feira: 07:00 – 22:00"", ""quarta-feira: 07:00 – 22:00"", ""quinta-feira: 07:00 – 22:00"", ""sexta-feira: 07:00 – 22:00"", ""sábado: 07:00 – 15:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -22.9249809197085, 'lng': -43.2083666697085}, 'southwest': {'lat': -22.92767888029151, 'lng': -43.2110646302915}}
