id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJcSh10vJ5GZURpkyZZ9Hddlc;Porto Alegre/RS;Heliponto Santa Casa;Centro Histórico, Porto Alegre;False;OPERATIONAL;-30.030088;-51.220493;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.02863766970851, 'lng': -51.2191490697085}, 'southwest': {'lat': -30.0313356302915, 'lng': -51.2218470302915}}
ChIJRyxXadx5GZURrpntDn3LBpA;Porto Alegre/RS;Heliponto do Clínicas;Hospital De Clínicas - Avenida Protásio Alves, 105 - Santa Cecília, Porto Alegre;False;OPERATIONAL;-30.0375488;-51.2070159;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.0360963197085, 'lng': -51.20582161970851}, 'southwest': {'lat': -30.0387942802915, 'lng': -51.20851958029151}}
ChIJHUTOY4B5GZUR3JOZQSrAlUE;Porto Alegre/RS;Heliponto do Cais;Avenida Mauá, 1050 - Centro Histórico, Porto Alegre;False;OPERATIONAL;-30.024712;-51.2268331;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.0237516697085, 'lng': -51.2252304197085}, 'southwest': {'lat': -30.02644963029149, 'lng': -51.2279283802915}}
ChIJxYdFXgB5GZURgK8qVa-vjAo;Porto Alegre/RS;Heliponto Hospital Moinhos de Vento (SSHM);Rua Ramiro Barcelos, 910 - Floresta, Porto Alegre;False;OPERATIONAL;-30.0265547;-51.2091915;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.0252277197085, 'lng': -51.20792211970849}, 'southwest': {'lat': -30.0279256802915, 'lng': -51.21062008029149}}
ChIJo85iSgB5GZUR2F1LrdJMZGw;Porto Alegre/RS;Heliponto Mostardeiro (SSAL);Rua Mariante, 86 - Rio Branco, Porto Alegre;True;OPERATIONAL;-30.0283319;-51.2042456;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: 08:00 – 17:00"", ""domingo: 08:00 – 17:00""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.0269877197085, 'lng': -51.2029616197085}, 'southwest': {'lat': -30.0296856802915, 'lng': -51.2056595802915}}
ChIJE5tJBAB3GZURvZG_Ol51fXA;Porto Alegre/RS;Heliponto Carlos Gomes (SJRN);Avenida Soledade, 550 - Petrópolis, Porto Alegre;True;OPERATIONAL;-30.0320738;-51.17867539999999;"[""segunda-feira: 08:00 – 22:00"", ""terça-feira: 08:00 – 22:00"", ""quarta-feira: 08:00 – 22:00"", ""quinta-feira: 08:00 – 22:00"", ""sexta-feira: 08:00 – 22:00"", ""sábado: 08:00 – 22:00"", ""domingo: 08:00 – 22:00""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.0308537197085, 'lng': -51.1772151697085}, 'southwest': {'lat': -30.0335516802915, 'lng': -51.1799131302915}}
ChIJuSUhKwB3GZURO9iCVMg0VBg;Porto Alegre/RS;Heliponto Iguatemi Corporate (SWSE);Avenida Doutor Nilo Peçanha, 2825 - Chácara das Pedras, Porto Alegre;False;OPERATIONAL;-30.02840729999999;-51.1630896;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.0269719197085, 'lng': -51.1618168197085}, 'southwest': {'lat': -30.0296698802915, 'lng': -51.1645147802915}}
ChIJS5S7vE13GZURUQ-kdB8a5_U;Porto Alegre/RS;Uniair Táxi Aéreo e Transporte Aeromédico;Avenida Sertório, 1988 - Navegantes, Porto Alegre;True;OPERATIONAL;-30.0033143;-51.18501639999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.0019606697085, 'lng': -51.18366691970851}, 'southwest': {'lat': -30.0046586302915, 'lng': -51.18636488029151}}
ChIJF7-u6F13GZURYTS-2giSX_Q;Porto Alegre/RS;Batalhão de Aviação da Brigada Militar;Aeroporto Internacional Salgado Filho - Avenida Sertório, 1988 - Anchieta, Porto Alegre;False;OPERATIONAL;-30.001378;-51.173547;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.00008966970851, 'lng': -51.17073885}, 'southwest': {'lat': -30.00278763029151, 'lng': -51.17448305}}
ChIJsW8IhuJ5GZURkmKLykJO6bM;Porto Alegre/RS;Hangar da Polícia Civil do Estado do Rio Grande do Sul;Anchieta, Porto Alegre;False;OPERATIONAL;-30.0000048;-51.1736147;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -29.9986753197085, 'lng': -51.1706987}, 'southwest': {'lat': -30.0013732802915, 'lng': -51.17458670000001}}
ChIJnzWK_Fp3GZURj1PdYEehmck;Porto Alegre/RS;Aeroporto Internacional de Porto Alegre - Salgado Filho;Avenida Severo Dullius, 90.010 - Anchieta, Porto Alegre;True;OPERATIONAL;-29.9949419;-51.17632889999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -29.98056875, 'lng': -51.17283754999999}, 'southwest': {'lat': -29.99973295000001, 'lng': -51.18680295000001}}
ChIJCyVDcQd4GZURIEgUUWO22e8;Porto Alegre/RS;Arone Locadora de Veículos - Aeroporto de Porto Alegre - Salgado Filho;Avenida Severo Dullius, 1995 - Anchieta, Porto Alegre;True;OPERATIONAL;-29.9875985;-51.17680239999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""car_rental"", ""airport"", ""travel_agency"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -29.9865467197085, 'lng': -51.17549306970849}, 'southwest': {'lat': -29.9892446802915, 'lng': -51.17819103029149}}
ChIJtTsMWgB3GZURFf-2o4JlQ4I;Porto Alegre/RS;Aeroporto Internacional Salgado Filho;Avenida Severo Dullius, 1485 - Anchieta, Porto Alegre;False;OPERATIONAL;-29.9875542;-51.1729588;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -29.9863118697085, 'lng': -51.1715856697085}, 'southwest': {'lat': -29.9890098302915, 'lng': -51.1742836302915}}
ChIJIw329TN5GZURZOxQLnWKbH8;Porto Alegre/RS;Sede Administrativa Fraport Brasil;Avenida Severo Dullius, 1244 - São João, Porto Alegre;False;OPERATIONAL;-29.9898429;-51.1691903;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -29.9882479697085, 'lng': -51.1678307197085}, 'southwest': {'lat': -29.9909459302915, 'lng': -51.1705286802915}}
ChIJwbu8Aj93GZURoyXGYXwRAMI;Porto Alegre/RS;Hábil Transportes e Serviços;Avenida Sertório, 6181 - 13 - São Sebastião, Porto Alegre;True;OPERATIONAL;-29.9987475;-51.1419411;"[""segunda-feira: 08:30 – 18:30"", ""terça-feira: 08:30 – 18:30"", ""quarta-feira: 08:30 – 18:30"", ""quinta-feira: 08:30 – 18:30"", ""sexta-feira: 08:30 – 18:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""airport"", ""moving_company"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -29.9973655697085, 'lng': -51.1407120697085}, 'southwest': {'lat': -30.0000635302915, 'lng': -51.1434100302915}}
ChIJF3HbQiyFGZURh5o0oANzOS0;Porto Alegre/RS;Aeroclube do Rio Grande do Sul;Avenida Juca Batista, 8101 - Belém Novo, Porto Alegre;True;OPERATIONAL;-30.1864852;-51.1806122;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: 08:00 – 18:00""]";"[""airport"", ""school"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.1850393697085, 'lng': -51.1793046697085}, 'southwest': {'lat': -30.18773733029149, 'lng': -51.1820026302915}}
ChIJ7f0kQyyFGZURWNza7suyGJY;Porto Alegre/RS;Aeródromo de Belém Novo;Belém Novo, Porto Alegre;False;OPERATIONAL;-30.1878189;-51.1827744;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.1861236197085, 'lng': -51.1816673697085}, 'southwest': {'lat': -30.1888215802915, 'lng': -51.1843653302915}}
ChIJuWLtJACFGZURxUUKyjNew6w;Porto Alegre/RS;Heliponto Belém Novo (SSBN);Belém Novo, Porto Alegre;False;OPERATIONAL;-30.1873;-51.18088789999999;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.1860132197085, 'lng': -51.1797661197085}, 'southwest': {'lat': -30.1887111802915, 'lng': -51.1824640802915}}
ChIJ0Z13G97RG5URXgeuXTpA-dg;Porto Alegre/RS;HUB Aeronáutico Eldorado;BR-290, Rodovia Oswaldo Aranha, km 123, Eldorado do Sul;False;OPERATIONAL;-30.0537742;-51.4446367;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -30.0524282697085, 'lng': -51.44332746970849}, 'southwest': {'lat': -30.0551262302915, 'lng': -51.44602543029149}}
ChIJZQtTZQBhGZURpccffYxShVQ;Porto Alegre/RS;Heliponto Isa Cteep Iesul;5MGF+92, Nova Santa Rita;False;OPERATIONAL;-29.8241098;-51.3274176;"[""Não disponível""]";"[""airport"", ""point_of_interest"", ""establishment""]";airport;{'northeast': {'lat': -29.8227831197085, 'lng': -51.32590371970851}, 'southwest': {'lat': -29.8254810802915, 'lng': -51.32860168029151}}
