id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJMVNKgdjl3JQRq2Y9cATfh04;Curitiba/PR;Western Union;Rua Brigadeiro Franco, 2300 - Loja 342 - Centro, Curitiba;True;OPERATIONAL;-25.4405903;-49.277034;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 10:00 – 15:00"", ""domingo: Fechado""]";"[""finance"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4392863197085, 'lng': -49.27559926970851}, 'southwest': {'lat': -25.4419842802915, 'lng': -49.27829723029151}}
ChIJeXN_Zebl3JQRnY1cXD5UkaY;Curitiba/PR;Positive Viagens e Turismo;Rua Brigadeiro Franco - Batel, Curitiba;True;OPERATIONAL;-25.44075309999999;-49.2768617;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""travel_agency"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4393899697085, 'lng': -49.27548461970849}, 'southwest': {'lat': -25.4420879302915, 'lng': -49.27818258029149}}
ChIJNf4NZRLk3JQRvpJDqrDZr40;Curitiba/PR;Outback Steakhouse;Rua Brigadeiro Franco, 2300 - Lojas 244 a 248 - Largo Curitiba, Curitiba;True;OPERATIONAL;-25.4407796;-49.2770233;"[""segunda-feira: 11:30 – 22:00"", ""terça-feira: 11:30 – 22:00"", ""quarta-feira: 11:30 – 22:00"", ""quinta-feira: 11:30 – 22:00"", ""sexta-feira: 11:30 – 22:00"", ""sábado: 11:30 – 22:00"", ""domingo: 11:30 – 22:00""]";"[""restaurant"", ""food"", ""bar"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4393914197085, 'lng': -49.2755657197085}, 'southwest': {'lat': -25.44208938029151, 'lng': -49.2782636802915}}
ChIJ87B-9nDk3JQR5Aj1E1bME6E;Curitiba/PR;Secerataria Municipal Da Sportr;Centro, Curitiba;False;OPERATIONAL;-25.4407081;-49.27663700000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4393810197085, 'lng': -49.27534736970851}, 'southwest': {'lat': -25.4420789802915, 'lng': -49.2780453302915}}
ChIJAR4jrorl3JQRue3UVamenpU;Curitiba/PR;Centro de Esporte e Lazer Dirceu Graeser;Rua Brigadeiro Franco, 2335 - Centro, Curitiba;True;OPERATIONAL;-25.4407472;-49.27662979999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 13:30 – 17:30"", ""domingo: Fechado""]";"[""gym"", ""point_of_interest"", ""health"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4394161697085, 'lng': -49.27533596970849}, 'southwest': {'lat': -25.4421141302915, 'lng': -49.27803393029149}}
ChIJjVCCZl_l3JQRUXWMIoc0jU0;Curitiba/PR;Mr. Cheff;Rua Brigadeiro Franco, 2300 - Centro, Curitiba;False;OPERATIONAL;-25.4407429;-49.27717570000001;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4393264197085, 'lng': -49.27565201970851}, 'southwest': {'lat': -25.4420243802915, 'lng': -49.2783499802915}}
ChIJlev5TbLl3JQRGoYJNgNztz4;Curitiba/PR;Taisho Yakiniku Shopping Curitiba;Rua Brigadeiro Franco, 2300 - Loja 241 - Rebouças, Curitiba;True;OPERATIONAL;-25.4408565;-49.27708200000001;"[""segunda-feira: 12:00 – 14:00, 18:30 – 22:00"", ""terça-feira: 12:00 – 14:00, 18:30 – 22:00"", ""quarta-feira: 12:00 – 14:00, 18:30 – 22:00"", ""quinta-feira: 12:00 – 14:00, 18:30 – 22:00"", ""sexta-feira: 11:30 – 15:00, 18:00 – 22:00"", ""sábado: 11:30 – 15:00, 18:00 – 22:00"", ""domingo: 11:30 – 15:00, 18:00 – 22:00""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4396480697085, 'lng': -49.2760259197085}, 'southwest': {'lat': -25.4423460302915, 'lng': -49.27872388029149}}
ChIJq-289XDk3JQRl-7ljWrTJkU;Curitiba/PR;Ponto de Táxi 140 - Oswaldo Cruz;Rua Brigadeiro Franco, s/n - Centro, Curitiba;True;OPERATIONAL;-25.4408128;-49.2766324;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""taxi_stand"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4394786697085, 'lng': -49.27532541970849}, 'southwest': {'lat': -25.44217663029151, 'lng': -49.27802338029149}}
ChIJ1TYz5nDk3JQRjzesJBBqtLg;Curitiba/PR;Mini Cars;Rua Brigadeiro Franco, 2300 - Centro, Curitiba;False;OPERATIONAL;-25.4408589;-49.2771264;"[""Não disponível""]";"[""department_store"", ""store"", ""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4394459697085, 'lng': -49.2755965697085}, 'southwest': {'lat': -25.4421439302915, 'lng': -49.2782945302915}}
ChIJ33wAmxHl3JQRv1pZGo3Vbao;Curitiba/PR;Engenharia DIAGNÓSTIKA CWB - Laudos, Perícias e Avaliações;Rua Brigadeiro Franco, 2300 - Centro, Curitiba;True;OPERATIONAL;-25.4408589;-49.2771264;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";convention_center;{'northeast': {'lat': -25.4394459697085, 'lng': -49.2755965697085}, 'southwest': {'lat': -25.4421439302915, 'lng': -49.2782945302915}}
