id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJoyGzl5V2GZURnx6lIU4h8iU;Porto Alegre/RS;Maqthermo RadiadoreseE Máquinas;Avenida Ernesto Neugebauer, 2470 - Humaitá, Porto Alegre;True;OPERATIONAL;-29.9723436;-51.17793899999999;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.97099621970851, 'lng': -51.17653061970849}, 'southwest': {'lat': -29.97369418029151, 'lng': -51.17922858029149}}
ChIJQxXyWXxxGZURGhocwpp_6k0;Porto Alegre/RS;Vila Santo André;Avenida Ernesto Neugebauer, 2510 - Humaitá, Porto Alegre;False;OPERATIONAL;-29.9723619;-51.1780042;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9710105197085, 'lng': -51.17656296970851}, 'southwest': {'lat': -29.9737084802915, 'lng': -51.17926093029151}}
ChIJQ7SBgsRxGZUR37vz-tNzSUA;Porto Alegre/RS;MP LoNas Proteja sua carga.;Avenida Ernesto Neugebauer, 2510 - Humaitá, Porto Alegre;True;OPERATIONAL;-29.9723685;-51.1779441;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 08:00 – 18:00"", ""domingo: Fechado""]";"[""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9710178697085, 'lng': -51.17653281970851}, 'southwest': {'lat': -29.9737158302915, 'lng': -51.17923078029151}}
ChIJOUjdEqdwGZURqP8QSAv0SNA;Porto Alegre/RS;Bar E Lancheria Do Gringo;Avenida Ernesto Neugebauer, 2465 - Humaitá, Porto Alegre;False;OPERATIONAL;-29.9713814;-51.17801410000001;"[""Não disponível""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9700662697085, 'lng': -51.17659416970849}, 'southwest': {'lat': -29.9727642302915, 'lng': -51.17929213029149}}
ChIJn8c_UwBxGZURC14Zq6jShMg;Porto Alegre/RS;TransVidal;Avenida Ernesto Neugebauer, 1641 - Humaitá, Porto Alegre;False;OPERATIONAL;-29.9711359;-51.17807790000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9697794197085, 'lng': -51.17669511970851}, 'southwest': {'lat': -29.9724773802915, 'lng': -51.1793930802915}}
ChIJXUDOOvhxGZURm__EB8ahJlg;Porto Alegre/RS;Borracharia lussani;Avenida Ernesto Neugebauer, 1641 - Humaitá, Porto Alegre;True;OPERATIONAL;-29.9711055;-51.1780971;"[""segunda-feira: 08:00 – 06:00"", ""terça-feira: 08:00 – 06:00"", ""quarta-feira: 08:00 – 06:00"", ""quinta-feira: 08:00 – 06:00"", ""sexta-feira: 08:00 – 06:00"", ""sábado: 08:00 – 11:30"", ""domingo: Fechado""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9697794197085, 'lng': -51.1767047197085}, 'southwest': {'lat': -29.9724773802915, 'lng': -51.1794026802915}}
ChIJN8oVH_pxGZURxQm_uqrDaOE;Porto Alegre/RS;Igreja Pentecostal Deus é Amor - Vila Santo André - Humaitá;Avenida Ernesto Neugebauer, 2480 - Humaitá, Porto Alegre;False;OPERATIONAL;-29.9727073;-51.1780337;"[""Não disponível""]";"[""church"", ""place_of_worship"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9713753697085, 'lng': -51.1766111697085}, 'southwest': {'lat': -29.9740733302915, 'lng': -51.1793091302915}}
ChIJySfs3sVxGZURGNT1b9NJ-Mc;Porto Alegre/RS;Oficina mecanica do joao;Avenida Ernesto Neugebauer - Humaitá, Porto Alegre;True;OPERATIONAL;-29.972796;-51.17823869999999;"[""segunda-feira: 09:00 – 19:00"", ""terça-feira: 09:00 – 19:00"", ""quarta-feira: 09:00 – 19:00"", ""quinta-feira: 09:00 – 19:00"", ""sexta-feira: 09:00 – 19:00"", ""sábado: 09:00 – 19:00"", ""domingo: Fechado""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9714500197085, 'lng': -51.1768891697085}, 'southwest': {'lat': -29.9741479802915, 'lng': -51.1795871302915}}
ChIJnUsTl6dwGZURT1MsbSAYIWo;Porto Alegre/RS;MINI MERCADO NILCEU;Brazil;False;OPERATIONAL;-29.9729319;-51.1784231;"[""Não disponível""]";"[""grocery_or_supermarket"", ""store"", ""food"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9715481197085, 'lng': -51.1770786197085}, 'southwest': {'lat': -29.9742460802915, 'lng': -51.1797765802915}}
ChIJV9dtFqdwGZURJX4Gxbx6p44;Porto Alegre/RS;Orion Transportadora;Humaitá, Porto Alegre;False;OPERATIONAL;-29.97086569999999;-51.1777718;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9694996197085, 'lng': -51.1764094197085}, 'southwest': {'lat': -29.9721975802915, 'lng': -51.1791073802915}}
ChIJy1UQYQBxGZURObhbLoo-xfU;Porto Alegre/RS;Borracharia;Avenida Ernesto Neugebauer, 2465 - Humaitá, Porto Alegre;False;OPERATIONAL;-29.9708017;-51.1779699;"[""Não disponível""]";"[""car_repair"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9694527197085, 'lng': -51.1766209197085}, 'southwest': {'lat': -29.9721506802915, 'lng': -51.1793188802915}}
ChIJBSL0F6dwGZURTIpXpWJ3Wck;Porto Alegre/RS;Reformas De Lonas;Brazil;False;OPERATIONAL;-29.9707389;-51.177506;"[""Não disponível""]";"[""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.96940606970849, 'lng': -51.17608696970849}, 'southwest': {'lat': -29.97210403029149, 'lng': -51.17878493029149}}
ChIJuffFaxhxGZURX6HatiqpUPI;Porto Alegre/RS;Casa Catiane (sobrenome);santo André - Avenida Ernesto Neugebauer, beco A - Humaitá, Porto Alegre;False;OPERATIONAL;-29.9730716;-51.17930800000001;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.97175336970849, 'lng': -51.1779480197085}, 'southwest': {'lat': -29.97445133029149, 'lng': -51.1806459802915}}
ChIJlSRjqIZxGZURxk_DJcUWDKk;Porto Alegre/RS;Casa camila;Avenida Ernesto Neugebauer, 289 - Humaitá, Porto Alegre;False;OPERATIONAL;-29.9731087;-51.1792707;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9717481197085, 'lng': -51.1779258697085}, 'southwest': {'lat': -29.9744460802915, 'lng': -51.1806238302915}}
ChIJq2OImoZ7GZURHQXSr7QmWC4;Porto Alegre/RS;Everaldo;Humaitá, Porto Alegre;False;OPERATIONAL;-29.9731893;-51.1795501;"[""Não disponível""]";"[""store"", ""food"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9718224697085, 'lng': -51.1782057197085}, 'southwest': {'lat': -29.97452043029149, 'lng': -51.1809036802915}}
ChIJj1iUJadwGZURi63hXINCpF0;Porto Alegre/RS;Av. Ernesto Neugebauer, 3096;Brazil;False;OPERATIONAL;-29.9700448;-51.17725879999999;"[""Não disponível""]";"[""transit_station"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9686955197085, 'lng': -51.1759141697085}, 'southwest': {'lat': -29.9713934802915, 'lng': -51.1786121302915}}
ChIJMYJFIcdxGZURrWjq-ARY4l0;Porto Alegre/RS;Base de Operações Aéreas PRF-RS;BR 290, km 270, Porto Alegre;True;OPERATIONAL;-29.97270970000001;-51.1758233;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""police"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.97124846970851, 'lng': -51.1744401197085}, 'southwest': {'lat': -29.9739464302915, 'lng': -51.1771380802915}}
ChIJ7wnoPqZwGZURpdRvBYpzeL8;Porto Alegre/RS;POLICIA RODOVIÁRIA FEDERAL;Brazil;False;OPERATIONAL;-29.9727129;-51.175774;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.97125541970849, 'lng': -51.17439196970849}, 'southwest': {'lat': -29.97395338029149, 'lng': -51.17708993029149}}
ChIJXayAvM1xGZURM86cxDIuxGQ;Porto Alegre/RS;Campo Pelada Da Freeway;Porto Alegre;False;OPERATIONAL;-29.972514;-51.17563639999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9711938697085, 'lng': -51.17429621970851}, 'southwest': {'lat': -29.97389183029149, 'lng': -51.1769941802915}}
ChIJZ5ll16dwGZURtqSmoyccIpo;Porto Alegre/RS;Mercedes-Benz;Avenida dos Estados, 2405 - Anchieta, Porto Alegre;True;OPERATIONAL;-29.9739844;-51.1771518;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: 09:00 – 12:30"", ""domingo: Fechado""]";"[""car_dealer"", ""store"", ""point_of_interest"", ""establishment""]";guesthouse;{'northeast': {'lat': -29.9726236197085, 'lng': -51.1758541697085}, 'southwest': {'lat': -29.9753215802915, 'lng': -51.17855213029149}}
