id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ_Rg_Guo5J5URd3o43RDQd3A;Florianópolis/SC;Centro Cirúrgico HU UFSC;Rua Professora Maria Flora Pausewang, 602 - Trindade, Florianópolis;False;OPERATIONAL;-27.5977339;-48.5188819;"[""Não disponível""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5964487197085, 'lng': -48.5175845697085}, 'southwest': {'lat': -27.5991466802915, 'lng': -48.5202825302915}}
ChIJPQvMQgA5J5URYF0uwBVt6uc;Florianópolis/SC;Hospital Universitário de Santa Catarina;Rua Professora Maria Flora Pausewang, 602 - Trindade, Florianópolis;True;OPERATIONAL;-27.5979787;-48.5187122;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5966413197085, 'lng': -48.5173726197085}, 'southwest': {'lat': -27.5993392802915, 'lng': -48.5200705802915}}
ChIJ71O4bUs5J5URj9tD7cc4EHg;Florianópolis/SC;Campina Grande Do Sul;Unnamed Road - Trindade;False;OPERATIONAL;-27.5986226;-48.5187065;"[""Não disponível""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5973053697085, 'lng': -48.5173956697085}, 'southwest': {'lat': -27.6000033302915, 'lng': -48.5200936302915}}
ChIJk26OAv84J5UR13h-8wLxnUA;Florianópolis/SC;DAP HU - UFSC;Condomínio Residence Flanboyant - Rua Professora Maria Flora Pausewang, 108 - Trindade, Florianópolis;True;OPERATIONAL;-27.5985609;-48.51863;"[""segunda-feira: 08:00 – 12:00, 13:00 – 18:30"", ""terça-feira: 08:00 – 12:00, 13:00 – 18:30"", ""quarta-feira: 08:00 – 12:00, 13:00 – 18:30"", ""quinta-feira: 08:00 – 12:00, 13:00 – 18:30"", ""sexta-feira: 08:00 – 12:00, 13:00 – 18:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5972631197085, 'lng': -48.5172510197085}, 'southwest': {'lat': -27.5999610802915, 'lng': -48.5199489802915}}
ChIJBRnMY1U4J5URd1nH8qKlm28;Florianópolis/SC;Hospital Universitário Polydoro Ernani de São Thiago;Rua Professora Maria Flora Pausewang - Trindade, Florianópolis;True;OPERATIONAL;-27.5974285;-48.518389;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5959652697085, 'lng': -48.5171924697085}, 'southwest': {'lat': -27.5986632302915, 'lng': -48.5198904302915}}
ChIJwUKTNVs5J5UR2XNG2y2_w2c;Florianópolis/SC;Unidade de Patrimônio - HU;Unnamed Road - Carvoeira, Florianópolis;False;OPERATIONAL;-27.5982068;-48.5181549;"[""Não disponível""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5968738197085, 'lng': -48.5167855697085}, 'southwest': {'lat': -27.5995717802915, 'lng': -48.51948353029149}}
ChIJ4SOSEf84J5URcsi98nrfub0;Florianópolis/SC;PROJETO HPV;Térreo, Rua Profª Maria Flora Pausewang - Trindade, Florianópolis;False;CLOSED_TEMPORARILY;-27.5973189;-48.5179754;"[""Não disponível""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5961376697085, 'lng': -48.5163994697085}, 'southwest': {'lat': -27.5988356302915, 'lng': -48.5190974302915}}
ChIJz5vofSI5J5URJeAhUmT9z-8;Florianópolis/SC;SETOR DE INFRAESTRUTURA FÍSICA (SIF) CMSG-HU/UFSC;Rua Professora Maria Flora Pausewang, s/n - Trindade, Florianópolis;True;OPERATIONAL;-27.5965472;-48.51828779999999;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""hospital"", ""general_contractor"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5951101197085, 'lng': -48.5170481197085}, 'southwest': {'lat': -27.5978080802915, 'lng': -48.5197460802915}}
ChIJh7SdW1Q4J5URJzXaPtSiQkU;Florianópolis/SC;fono floripa;Rua Desembargador Vítor Lima, 222 - Trindade, Florianópolis;False;OPERATIONAL;-27.5970121;-48.5221089;"[""Não disponível""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5957472697085, 'lng': -48.5208270697085}, 'southwest': {'lat': -27.5984452302915, 'lng': -48.52352503029149}}
ChIJOSoHm905J5URpRH5njA9fw4;Florianópolis/SC;Arauna;Rua Professora Maria Flora Pausewang - Trindade, Florianópolis;False;OPERATIONAL;-27.5954062;-48.51758709999999;"[""Não disponível""]";"[""hospital"", ""point_of_interest"", ""health"", ""establishment""]";hospital;{'northeast': {'lat': -27.5940572197085, 'lng': -48.5162381197085}, 'southwest': {'lat': -27.59675518029151, 'lng': -48.5189360802915}}
