id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJ1YYK-Q3k3JQRNVvmybiaERk;Curitiba/PR;Don Alberttoni Barbearia;Rua Tapajós, 990 - Bom Retiro, Curitiba;True;OPERATIONAL;-25.4139829;-49.2796647;"[""segunda-feira: Fechado"", ""terça-feira: 11:00 – 20:00"", ""quarta-feira: 11:00 – 20:00"", ""quinta-feira: 10:00 – 20:00"", ""sexta-feira: 11:00 – 20:00"", ""sábado: 11:00 – 20:00"", ""domingo: Fechado""]";"[""hair_care"", ""health"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.4126219697085, 'lng': -49.2783721697085}, 'southwest': {'lat': -25.4153199302915, 'lng': -49.2810701302915}}
ChIJhT0SdLDl3JQRxJ14Ons0f1Y;Curitiba/PR;ESTÚDIO MAHARA ALBERTTONI;Rua Tapajós, 990 - São Francisco, Curitiba;True;OPERATIONAL;-25.41397929999999;-49.2795972;"[""segunda-feira: Fechado"", ""terça-feira: 10:00 – 20:00"", ""quarta-feira: 10:00 – 20:00"", ""quinta-feira: 10:00 – 20:00"", ""sexta-feira: 10:00 – 20:00"", ""sábado: 10:00 – 20:00"", ""domingo: Fechado""]";"[""hair_care"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.4126110197085, 'lng': -49.2783369697085}, 'southwest': {'lat': -25.4153089802915, 'lng': -49.28103493029149}}
ChIJdeRG4wHk3JQRRUbzUBczFU8;Curitiba/PR;Jasmim Salāo;Rua Tapajós, 978 - Bom Retiro, Curitiba;True;OPERATIONAL;-25.4140919;-49.2796478;"[""segunda-feira: 09:00 – 19:00"", ""terça-feira: 09:00 – 19:00"", ""quarta-feira: 09:00 – 19:00"", ""quinta-feira: 09:00 – 19:00"", ""sexta-feira: 09:00 – 19:00"", ""sábado: 09:00 – 19:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.4127257197085, 'lng': -49.2783778197085}, 'southwest': {'lat': -25.4154236802915, 'lng': -49.2810757802915}}
ChIJrZsy4wHk3JQRaZ4pyq3OjoA;Curitiba/PR;+ FIT Casa De Lanches e Sucos;Rua Tapajós, 980 - Bom Retiro, Curitiba;True;OPERATIONAL;-25.4141076;-49.27964919999999;"[""segunda-feira: 11:00 – 14:00"", ""terça-feira: 11:00 – 14:00"", ""quarta-feira: 11:00 – 14:00"", ""quinta-feira: 11:00 – 14:00"", ""sexta-feira: 11:00 – 14:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.4127411697085, 'lng': -49.2783805697085}, 'southwest': {'lat': -25.4154391302915, 'lng': -49.28107853029149}}
ChIJiaN4nuDl3JQR8Dzd0Y6DQuA;Curitiba/PR;Zillmann Cortes;Rua Tapajós, 976 - Bom Retiro, Curitiba;True;OPERATIONAL;-25.4142066;-49.2796478;"[""segunda-feira: 09:00 – 17:30"", ""terça-feira: 09:00 – 17:30"", ""quarta-feira: 09:00 – 17:30"", ""quinta-feira: 09:00 – 17:30"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""store"", ""establishment""]";hotel;{'northeast': {'lat': -25.4128381697085, 'lng': -49.2783907697085}, 'southwest': {'lat': -25.41553613029151, 'lng': -49.2810887302915}}
ChIJ-Rrv_J7n3JQR4SMjg_C8VHI;Curitiba/PR;Luciane nails designer;Rua Tapajós, 987 - São Francisco, Curitiba;True;OPERATIONAL;-25.4139621;-49.2799328;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 19:00"", ""quarta-feira: 09:00 – 19:00"", ""quinta-feira: 09:00 – 19:00"", ""sexta-feira: 09:00 – 19:00"", ""sábado: 09:00 – 16:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.4126285697085, 'lng': -49.27851066970851}, 'southwest': {'lat': -25.41532653029151, 'lng': -49.28120863029151}}
ChIJ-Ran7bLm3JQRJVWo73EP6TY;Curitiba/PR;Queen Concept Salon;Rua Tapajós, 987 - São Francisco, Curitiba;True;OPERATIONAL;-25.4139621;-49.2799328;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 19:00"", ""quarta-feira: 09:00 – 19:00"", ""quinta-feira: 09:00 – 19:00"", ""sexta-feira: 09:00 – 19:00"", ""sábado: 09:00 – 19:00"", ""domingo: Fechado""]";"[""beauty_salon"", ""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.41262876970849, 'lng': -49.2785117697085}, 'southwest': {'lat': -25.4153267302915, 'lng': -49.2812097302915}}
ChIJDUjNvw3l3JQRVfXoEEZp94w;Curitiba/PR;Vestidorama Festas & Costura;Avenida Desembargador Hugo Simas, 507 - Bom Retiro, Curitiba;True;OPERATIONAL;-25.4141284;-49.2794993;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 10:00 – 13:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.4127694697085, 'lng': -49.2780333697085}, 'southwest': {'lat': -25.4154674302915, 'lng': -49.28073133029149}}
ChIJZwVO-QHk3JQRWoo1WZAVLtg;Curitiba/PR;Costurafestasetc Mary Maison Oficina de Costura;Avenida Desembargador Hugo Simas, 507 - Bom Retiro, Curitiba;True;OPERATIONAL;-25.4141284;-49.2794993;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 10:00 – 13:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.4127694697085, 'lng': -49.2780333697085}, 'southwest': {'lat': -25.4154674302915, 'lng': -49.28073133029149}}
ChIJ46jJPVzn3JQRhgL3NRVYDyM;Curitiba/PR;CS DOCK CELL ASSISTÊNCIA TÉCNICA E ELETRÔNICOS;Rua Tapajós, 1005 - São Francisco, Curitiba;True;OPERATIONAL;-25.4138404;-49.279925;"[""segunda-feira: 09:00 – 19:00"", ""terça-feira: 09:00 – 19:00"", ""quarta-feira: 09:00 – 19:00"", ""quinta-feira: 09:00 – 19:00"", ""sexta-feira: 09:00 – 19:30"", ""sábado: 09:00 – 14:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";hotel;{'northeast': {'lat': -25.4125092697085, 'lng': -49.2784915697085}, 'southwest': {'lat': -25.4152072302915, 'lng': -49.2811895302915}}
