id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJzfKmTgDl3JQRfVmVT5p6EXI;Curitiba/PR;Cineflix Shopping Curitiba;Rua Brigadeiro Franco, 2300 - Centro, Curitiba;False;OPERATIONAL;-25.4409909;-49.2774894;"[""segunda-feira: 14:00 – 22:30"", ""terça-feira: 14:00 – 22:30"", ""quarta-feira: 14:00 – 22:30"", ""quinta-feira: 14:00 – 22:30"", ""sexta-feira: 14:00 – 22:30"", ""sábado: 14:00 – 22:30"", ""domingo: 14:00 – 22:30""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.4393637697085, 'lng': -49.2762699197085}, 'southwest': {'lat': -25.4420617302915, 'lng': -49.2789678802915}}
ChIJq6rqlnXk3JQRrUU0GzRYdcU;Curitiba/PR;Cineplex Novo Batel;Alameda Dom Pedro II, 255 - Batel, Curitiba;True;OPERATIONAL;-25.437899;-49.2831132;"[""segunda-feira: 10:00 – 21:00"", ""terça-feira: 10:00 – 21:00"", ""quarta-feira: 10:00 – 21:00"", ""quinta-feira: 10:00 – 21:00"", ""sexta-feira: 10:00 – 21:00"", ""sábado: 10:00 – 20:00"", ""domingo: 14:00 – 20:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.4364112697085, 'lng': -49.28191191970851}, 'southwest': {'lat': -25.4391092302915, 'lng': -49.28460988029151}}
ChIJL9kP0-bl3JQRhGs66KdNYtA;Curitiba/PR;HENRIQUE DRONNEAU ESCOLA DE ATORES E CANTORES;Shopping Novo, Rua Coronel Dulcídio, 517 - Batel, Curitiba;True;OPERATIONAL;-25.43824;-49.2838549;"[""segunda-feira: 09:00 – 20:00"", ""terça-feira: 09:00 – 22:00"", ""quarta-feira: 09:00 – 20:00"", ""quinta-feira: 09:00 – 22:00"", ""sexta-feira: 09:00 – 20:00"", ""sábado: 09:00 – 12:00"", ""domingo: Fechado""]";"[""movie_theater"", ""school"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.43693606970849, 'lng': -49.28255726970851}, 'southwest': {'lat': -25.4396340302915, 'lng': -49.2852552302915}}
ChIJa7SWLGTk3JQRMCfSyX_3mb4;Curitiba/PR;Drive In Box Serv-Car;Avenida Iguaçu, 789 - Centro, Curitiba;False;OPERATIONAL;-25.4428272;-49.26922980000001;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.4411442697085, 'lng': -49.2678071697085}, 'southwest': {'lat': -25.44384223029151, 'lng': -49.2705051302915}}
ChIJObcLum3k3JQRJhUGEouGR9A;Curitiba/PR;Cine São João;Rua Desembargador Westphalen, 165 - Centro, Curitiba;False;OPERATIONAL;-25.43403069999999;-49.2720158;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.43271951970849, 'lng': -49.2707662197085}, 'southwest': {'lat': -25.4354174802915, 'lng': -49.27346418029149}}
ChIJM6-1vGjk3JQRmMSLGLsDE8Q;Curitiba/PR;UCI Estação;Avenida Sete de Setembro, 2775 - Rebouças, Curitiba;False;OPERATIONAL;-25.4385416;-49.26747719999999;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.4369739197085, 'lng': -49.2661739697085}, 'southwest': {'lat': -25.4396718802915, 'lng': -49.2688719302915}}
ChIJk5m_l47j3JQRjLGMRORLDeo;Curitiba/PR;Cinépolis;Pátio, Avenida do Batel, 1868 - Loja 414 - Batel, Curitiba;False;OPERATIONAL;-25.4427778;-49.2902778;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.4417908697085, 'lng': -49.28902696970851}, 'southwest': {'lat': -25.4444888302915, 'lng': -49.29172493029151}}
ChIJ40fAVovl3JQRTaPUnCIPfu8;Curitiba/PR;TheCuriousWhite;Rua João Negrão - Matriz, Curitiba;False;OPERATIONAL;-25.4422968;-49.2606754;"[""Não disponível""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.4409192197085, 'lng': -49.2593405197085}, 'southwest': {'lat': -25.4436171802915, 'lng': -49.2620384802915}}
ChIJn3-_7Qrl3JQRWTLBmqKqbN8;Curitiba/PR;Sambaqui Cultural;Rua Tibagi, 576 - Conj 502 - Centro, Curitiba;True;OPERATIONAL;-25.4318447;-49.2630364;"[""segunda-feira: 09:00 – 18:00"", ""terça-feira: 09:00 – 18:00"", ""quarta-feira: 09:00 – 18:00"", ""quinta-feira: 09:00 – 18:00"", ""sexta-feira: 09:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.4304747697085, 'lng': -49.2616271197085}, 'southwest': {'lat': -25.43317273029151, 'lng': -49.2643250802915}}
ChIJp2S3QA3k3JQRUs-MCKoZIfk;Curitiba/PR;Cine Lido Bar;Rua Riachuelo, 362 - Centro, Curitiba;True;OPERATIONAL;-25.4268494;-49.26943989999999;"[""segunda-feira: 10:30 – 20:00"", ""terça-feira: 10:30 – 20:00"", ""quarta-feira: 10:30 – 20:00"", ""quinta-feira: 10:30 – 20:00"", ""sexta-feira: 10:30 – 20:00"", ""sábado: 10:00 – 20:30"", ""domingo: 10:30 – 20:00""]";"[""movie_theater"", ""point_of_interest"", ""establishment""]";movie_theater;{'northeast': {'lat': -25.4255032197085, 'lng': -49.2681289197085}, 'southwest': {'lat': -25.4282011802915, 'lng': -49.27082688029149}}
