id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJwaBk8ZN4GZURVeIXLQe0V98;Porto Alegre/RS;Museu do Inter - Ruy Tedesco;Ao lado do - Avenida Padre Cacique, 891 - Portão 7 - Praia de Belas, Porto Alegre;True;OPERATIONAL;-30.0665492;-51.2363341;"[""segunda-feira: Fechado"", ""terça-feira: 10:00 – 18:00"", ""quarta-feira: 10:00 – 18:00"", ""quinta-feira: 10:00 – 18:00"", ""sexta-feira: 10:00 – 18:00"", ""sábado: 10:00 – 18:00"", ""domingo: 10:00 – 18:00""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.06529571970851, 'lng': -51.23498746970851}, 'southwest': {'lat': -30.0679936802915, 'lng': -51.23768543029151}}
ChIJv2clkeR5GZURkkLK0lFFdFY;Porto Alegre/RS;Árvore da Beatriz Hart Pinzkoski;Avenida Edvaldo Pereira Paiva - Praia de Belas, Porto Alegre;True;OPERATIONAL;-30.059572;-51.2333411;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: 09:00 – 17:00""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0581542197085, 'lng': -51.23228436970849}, 'southwest': {'lat': -30.06085218029149, 'lng': -51.23498233029149}}
ChIJ2Zcjz4V4GZURSCGf5GTOEvg;Porto Alegre/RS;Serviço Geológico do Brasil SGB/CPRM;Rua Banco da Província, 105 - Santa Tereza, Porto Alegre;False;OPERATIONAL;-30.0720505;-51.2276091;"[""segunda-feira: 09:00 – 11:59, 14:00 – 17:00"", ""terça-feira: 09:00 – 11:59, 14:00 – 17:00"", ""quarta-feira: 09:00 – 11:59, 14:00 – 17:00"", ""quinta-feira: 09:00 – 11:59, 14:00 – 17:00"", ""sexta-feira: 09:00 – 11:59, 14:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0706726697085, 'lng': -51.2261348697085}, 'southwest': {'lat': -30.0733706302915, 'lng': -51.22883283029149}}
ChIJKePknON5GZURKX5umEQIK6c;Porto Alegre/RS;Largo Fundação Iberê Camargo;Cristal, Porto Alegre;False;OPERATIONAL;-30.07709789999999;-51.24494529999999;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0758264697085, 'lng': -51.2435427197085}, 'southwest': {'lat': -30.07852443029149, 'lng': -51.2462406802915}}
ChIJUcc6WUx4GZURrXbkfXR763w;Porto Alegre/RS;Fundação Iberê;Avenida Padre Cacique, 2000 - Cristal, Porto Alegre;False;OPERATIONAL;-30.0779122;-51.2456197;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: 14:00 – 18:00"", ""sexta-feira: 14:00 – 18:00"", ""sábado: 14:00 – 18:00"", ""domingo: 14:00 – 18:00""]";"[""tourist_attraction"", ""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0764694197085, 'lng': -51.2443355697085}, 'southwest': {'lat': -30.0791673802915, 'lng': -51.2470335302915}}
ChIJ1U3tSVx5GZURMc0cllKPTL4;Porto Alegre/RS;Museu de Matriz Africana IYA Mãe Maria da Oxum;Avenida Doutor Carlos Barbosa, 1328 - Medianeira, Porto Alegre;False;OPERATIONAL;-30.0674367;-51.212608;"[""Não disponível""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0660741697085, 'lng': -51.2113465697085}, 'southwest': {'lat': -30.0687721302915, 'lng': -51.2140445302915}}
ChIJIaPv-v54GZURDfA2fc9Gu-A;Porto Alegre/RS;Museu de Porto Alegre Joaquim Felizardo;Rua João Alfredo, 582 - Cidade Baixa, Porto Alegre;False;OPERATIONAL;-30.0420388;-51.22456709999999;"[""segunda-feira: 13:30 – 17:30"", ""terça-feira: 09:00 – 12:00, 13:30 – 17:30"", ""quarta-feira: 09:00 – 12:00, 13:30 – 17:30"", ""quinta-feira: 09:00 – 12:00, 13:30 – 17:30"", ""sexta-feira: 09:00 – 12:00, 13:30 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0406993197085, 'lng': -51.2233883197085}, 'southwest': {'lat': -30.04339728029149, 'lng': -51.2260862802915}}
ChIJ5SQfMTB5GZURJjny_qYF_aw;Porto Alegre/RS;Museu da Polícia Civil do Rio Grande do Sul;Rua Professor Freitas e Castro, 740 - Azenha, Porto Alegre;False;OPERATIONAL;-30.0472471;-51.21045069999999;"[""segunda-feira: 13:00 – 17:00"", ""terça-feira: 13:00 – 17:00"", ""quarta-feira: 13:00 – 17:00"", ""quinta-feira: 13:00 – 17:00"", ""sexta-feira: 13:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0459491197085, 'lng': -51.2090678697085}, 'southwest': {'lat': -30.0486470802915, 'lng': -51.2117658302915}}
ChIJg3k9fwR5GZURESXYNCDO7P0;Porto Alegre/RS;Centro Cultural Demétrio Nunes Ribeiro;Rua Demétrio Ribeiro, 1027 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.0362187;-51.228894;"[""segunda-feira: 10:00 – 20:00"", ""terça-feira: 10:00 – 20:00"", ""quarta-feira: 10:00 – 20:00"", ""quinta-feira: 10:00 – 20:00"", ""sexta-feira: 10:00 – 20:00"", ""sábado: 10:00 – 20:00"", ""domingo: Fechado""]";"[""museum"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0348126697085, 'lng': -51.2275478697085}, 'southwest': {'lat': -30.0375106302915, 'lng': -51.2302458302915}}
ChIJ90bQzxt5GZURJnL9RYHZD6w;Porto Alegre/RS;Castelinho do Alto da Bronze - Espaço Cultural;Rua General Vasco Alves, 432 - Centro Histórico, Porto Alegre;False;OPERATIONAL;-30.0352556;-51.2377175;"[""Não disponível""]";"[""museum"", ""tourist_attraction"", ""point_of_interest"", ""establishment""]";museum;{'northeast': {'lat': -30.0339186197085, 'lng': -51.2364169697085}, 'southwest': {'lat': -30.03661658029149, 'lng': -51.23911493029149}}
