id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJyfRSWFJ4GZURDqHy6jeJrS0;Porto Alegre/RS;Shamrock Irish Pub;Rua Vieira de Castro, 32 - Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0380936;-51.21250910000001;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: 18:00 – 00:00"", ""sexta-feira: 18:00 – 00:00"", ""sábado: 18:00 – 00:00"", ""domingo: Fechado""]";"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -30.0367784197085, 'lng': -51.2112188197085}, 'southwest': {'lat': -30.0394763802915, 'lng': -51.2139167802915}}
ChIJVbrbaFJ4GZURDkpFh8FLvX8;Porto Alegre/RS;Bar do Beto;Avenida Venâncio Aires, 876 - Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0384954;-51.2119946;"[""segunda-feira: 17:00 – 02:30"", ""terça-feira: 17:00 – 02:30"", ""quarta-feira: 17:00 – 02:30"", ""quinta-feira: 17:00 – 02:30"", ""sexta-feira: 17:00 – 02:30"", ""sábado: 17:00 – 02:30"", ""domingo: Fechado""]";"[""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -30.0371639197085, 'lng': -51.21063261970851}, 'southwest': {'lat': -30.03986188029149, 'lng': -51.21333058029151}}
ChIJL5mn16t5GZURMDVDrEUuFd8;Porto Alegre/RS;Seculo;Avenida José Bonifácio, 487 - Cidade Baixa, Porto Alegre;True;OPERATIONAL;-30.03793;-51.212511;"[""segunda-feira: 11:30 – 14:00"", ""terça-feira: 11:30 – 14:00"", ""quarta-feira: 11:30 – 14:00"", ""quinta-feira: 11:30 – 14:00"", ""sexta-feira: 11:30 – 14:00"", ""sábado: 11:30 – 14:00"", ""domingo: 11:30 – 14:00""]";"[""health"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment""]";restaurant;{'northeast': {'lat': -30.03649866970851, 'lng': -51.2112217197085}, 'southwest': {'lat': -30.0391966302915, 'lng': -51.2139196802915}}
ChIJEakcYaV5GZURJOc1hvOC6TU;Porto Alegre/RS;Ennio's Pizzas;Avenida Venâncio Aires, 867 - Santana, Porto Alegre;False;OPERATIONAL;-30.03877829999999;-51.21199039999999;"[""segunda-feira: Fechado"", ""terça-feira: 18:00 – 22:00"", ""quarta-feira: 18:00 – 22:00"", ""quinta-feira: 18:00 – 22:00"", ""sexta-feira: 18:00 – 22:00"", ""sábado: 18:00 – 22:00"", ""domingo: 18:00 – 22:00""]";"[""meal_takeaway"", ""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -30.0373790697085, 'lng': -51.21067846970849}, 'southwest': {'lat': -30.0400770302915, 'lng': -51.21337643029149}}
ChIJd12ziHp5GZURgZ8wdUFI7NA;Porto Alegre/RS;Gracejo 831;Avenida Venâncio Aires, 831 - Cidade Baixa, Porto Alegre;False;OPERATIONAL;-30.0389884;-51.21237379999999;"[""segunda-feira: Fechado"", ""terça-feira: 17:00 – 00:00"", ""quarta-feira: 17:00 – 00:00"", ""quinta-feira: 17:00 – 00:00"", ""sexta-feira: 17:00 – 00:00"", ""sábado: 11:30 – 00:00"", ""domingo: 11:30 – 22:30""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -30.03759446970851, 'lng': -51.21106176970849}, 'southwest': {'lat': -30.0402924302915, 'lng': -51.21375973029149}}
ChIJCQzkQFJ4GZUR1XujgvOzwvk;Porto Alegre/RS;Peg & Lev Da Nutri Venâncio;Avenida Venâncio Aires, 827 - Santana, Porto Alegre;True;OPERATIONAL;-30.038989;-51.21236709999999;"[""segunda-feira: 10:00 – 15:00"", ""terça-feira: 10:00 – 15:00"", ""quarta-feira: 10:00 – 15:00"", ""quinta-feira: 10:00 – 15:00"", ""sexta-feira: 10:00 – 15:00"", ""sábado: 09:00 – 17:00"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment""]";restaurant;{'northeast': {'lat': -30.0375934697085, 'lng': -51.2110563697085}, 'southwest': {'lat': -30.0402914302915, 'lng': -51.2137543302915}}
ChIJxYYyVqt5GZURDh8SQiDxGQc;Porto Alegre/RS;Cookie do Foca;Avenida Venâncio Aires, 877 - Santana, Porto Alegre;True;OPERATIONAL;-30.03875180000001;-51.2118552;"[""segunda-feira: Fechado"", ""terça-feira: 11:30 – 20:30"", ""quarta-feira: 11:30 – 20:30"", ""quinta-feira: 11:30 – 20:30"", ""sexta-feira: 11:30 – 20:30"", ""sábado: 11:30 – 20:30"", ""domingo: 11:30 – 20:30""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -30.03733546970851, 'lng': -51.2105558697085}, 'southwest': {'lat': -30.04003343029151, 'lng': -51.2132538302915}}
ChIJve_ga1J4GZURM9y_P-ma3Ig;Porto Alegre/RS;Severo Garage;Avenida Venâncio Aires, 881 - Cidade Baixa, Porto Alegre;True;OPERATIONAL;-30.0387134;-51.21180819999999;"[""segunda-feira: Fechado"", ""terça-feira: 11:00 – 22:30"", ""quarta-feira: 11:00 – 22:30"", ""quinta-feira: 11:00 – 22:30"", ""sexta-feira: 11:00 – 22:30"", ""sábado: 11:00 – 22:30"", ""domingo: 11:00 – 22:30""]";"[""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -30.03730146970851, 'lng': -51.21050561970849}, 'southwest': {'lat': -30.0399994302915, 'lng': -51.21320358029149}}
ChIJyxE-FVJ4GZURFYXgsRXY4og;Porto Alegre/RS;Centro Peruano;Rua Vieira de Castro, 133 - Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0390767;-51.2122213;"[""segunda-feira: Fechado"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: 19:00 – 23:30"", ""sexta-feira: 19:00 – 23:30"", ""sábado: 11:30 – 15:30"", ""domingo: 11:30 – 15:30""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -30.0376907197085, 'lng': -51.2108087197085}, 'southwest': {'lat': -30.0403886802915, 'lng': -51.2135066802915}}
ChIJVzzNTwd5GZUR_eDbWfYcdrU;Porto Alegre/RS;Ajeum Panqueca Bar;Rua Vieira de Castro, 130 - Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0388572;-51.2117801;"[""segunda-feira: Fechado"", ""terça-feira: 17:00 – 22:00"", ""quarta-feira: 17:00 – 22:00"", ""quinta-feira: 17:00 – 22:00"", ""sexta-feira: 17:00 – 00:00"", ""sábado: 17:00 – 00:00"", ""domingo: Fechado""]";"[""restaurant"", ""food"", ""point_of_interest"", ""establishment""]";restaurant;{'northeast': {'lat': -30.03759571970851, 'lng': -51.2105762697085}, 'southwest': {'lat': -30.0402936802915, 'lng': -51.2132742302915}}
