id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJWea2Wjs4J5URM3QJw63NAgs;Florianópolis/SC;Lift Gold;Centro;False;OPERATIONAL;-27.5954278;-48.54799039999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940903197085, 'lng': -48.5466444197085}, 'southwest': {'lat': -27.59678828029151, 'lng': -48.54934238029149}}
ChIJ7eWktfk5J5URvCIaS9Jk2bM;Florianópolis/SC;Vanessa Ribeiro, Psicólogo;Rua das Algas, 733, slj A, Florianópolis;False;OPERATIONAL;-27.5954456;-48.548008;"[""Não disponível""]";"[""health"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940878197085, 'lng': -48.5466567197085}, 'southwest': {'lat': -27.5967857802915, 'lng': -48.5493546802915}}
ChIJlYtjA7U5J5URxgQ5xPO_d_U;Florianópolis/SC;Dr. Roberto Pena Costa Baptista, Cirurgião buco-maxilo-facial;Rua Menino Deus, 63, Baía Sul Medical Center, Bloco B, Florianópolis;False;OPERATIONAL;-27.5954456;-48.548008;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940878197085, 'lng': -48.5466567197085}, 'southwest': {'lat': -27.5967857802915, 'lng': -48.5493546802915}}
ChIJWea2Wjs4J5URWSjYkXGEd-w;Florianópolis/SC;XtraPower;Centro;False;OPERATIONAL;-27.5954457;-48.5480083;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940878197085, 'lng': -48.5466569197085}, 'southwest': {'lat': -27.5967857802915, 'lng': -48.5493548802915}}
ChIJWea2Wjs4J5URYqOjuwtPrzw;Florianópolis/SC;Hotel.del.año;Centro, Florianópolis;False;OPERATIONAL;-27.5954457;-48.5480083;"[""Não disponível""]";"[""lodging"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940878197085, 'lng': -48.5466569197085}, 'southwest': {'lat': -27.5967857802915, 'lng': -48.5493548802915}}
ChIJWea2Wjs4J5URr6_GeSDo81A;Florianópolis/SC;Rede SIBRATEC de Serviços Tecnológicos para Produtos de Manufatura Mecânica;Campus Universitário UFSC, s/n - Setor C, Florianópolis;True;OPERATIONAL;-27.5954457;-48.5480083;"[""segunda-feira: 08:00 – 18:00"", ""terça-feira: 08:00 – 18:00"", ""quarta-feira: 08:00 – 18:00"", ""quinta-feira: 08:00 – 18:00"", ""sexta-feira: 08:00 – 18:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940878197085, 'lng': -48.5466569197085}, 'southwest': {'lat': -27.5967857802915, 'lng': -48.5493548802915}}
ChIJsYYnlr45J5URUyoNdbs8Uzk;Florianópolis/SC;Dr. Marcio Papaleo de Souza, Ortopedista - Traumatologista;Rua Menino Deus, 63, Baía Sul Medical Center, Bloco B, Florianópolis;False;OPERATIONAL;-27.59544589999999;-48.5480089;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940876197085, 'lng': -48.5466575197085}, 'southwest': {'lat': -27.5967855802915, 'lng': -48.5493554802915}}
ChIJ10qwWjs4J5URPKEW9ztarjI;Florianópolis/SC;REFTEC PINTURAS E REFORMAS TÉCNICAS;Diamantina Freitas, 50 040, Travessa Elisabete de Melo Pereira - Centro, Florianópolis;True;OPERATIONAL;-27.5954478;-48.5480129;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: 08:00 – 17:00"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940870197085, 'lng': -48.5466608197085}, 'southwest': {'lat': -27.5967849802915, 'lng': -48.5493587802915}}
ChIJWea2Wjs4J5UR1GvIa7gp25M;Florianópolis/SC;Associação Jardim Califórnia;Travessa Jornalista Osvaldo Melo, 78 - Jardim Califórnia, Florianópolis;False;OPERATIONAL;-27.5953778;-48.54804989999999;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940191197085, 'lng': -48.5467331697085}, 'southwest': {'lat': -27.5967170802915, 'lng': -48.5494311302915}}
ChIJZZkhRTs4J5URNXKzFJpwCmA;Florianópolis/SC;Sindicato dos Condomínios de Santa Catarina;Rua dos Ilhéus, 8 - Centro, Florianópolis;False;OPERATIONAL;-27.59537659999999;-48.5481576;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";retail;{'northeast': {'lat': -27.5940399197085, 'lng': -48.54675821970851}, 'southwest': {'lat': -27.5967378802915, 'lng': -48.54945618029151}}
