id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJP8B7_gNxGZURlw-W2fLDCjY;Porto Alegre/RS;BAIRRO ANCHIETA;Avenida Jaime Vignoli - Anchieta, Porto Alegre;False;OPERATIONAL;-29.9741052;-51.17281959999999;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9727582197085, 'lng': -51.1714644697085}, 'southwest': {'lat': -29.9754561802915, 'lng': -51.1741624302915}}
ChIJiyy1SqlwGZURbBpneTqnXbg;Porto Alegre/RS;EEEF BRIGADEIRO EDUARDO GOMES;Avenida Jaime Vignoli, 320 - Anchieta, Porto Alegre;False;OPERATIONAL;-29.9770997;-51.1747278;"[""Não disponível""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9758200197085, 'lng': -51.1731777697085}, 'southwest': {'lat': -29.9785179802915, 'lng': -51.1758757302915}}
ChIJZXalWQBxGZURHMGNuberEik;Porto Alegre/RS;Escola infantil;Avenida José Lutzenberger, 255 - Anchieta, Porto Alegre;False;OPERATIONAL;-29.97741730000001;-51.17538879999999;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.97597831970851, 'lng': -51.1741406197085}, 'southwest': {'lat': -29.97867628029151, 'lng': -51.17683858029149}}
ChIJfbNMVqJwGZURZscDi1ZbwiY;Porto Alegre/RS;Escola São José;Rua Iraí, 459 - Niterói, Canoas;False;OPERATIONAL;-29.96436729999999;-51.1722235;"[""segunda-feira: 08:00 – 12:00, 13:00 – 17:00"", ""terça-feira: 08:00 – 12:00, 13:00 – 17:00"", ""quarta-feira: 08:00 – 12:00, 13:00 – 17:00"", ""quinta-feira: 08:00 – 12:00, 13:00 – 17:00"", ""sexta-feira: 08:00 – 12:00, 13:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.96292736970849, 'lng': -51.1708776697085}, 'southwest': {'lat': -29.96562533029149, 'lng': -51.1735756302915}}
ChIJyTyLW6JwGZUR7f9bDCQ5ggc;Porto Alegre/RS;Associação Educacional Prof.ª Maria Oliveira de Araujo;Rua Iraí, 459 - Niterói, Canoas;False;OPERATIONAL;-29.9643095;-51.17224479999999;"[""segunda-feira: 08:00 – 11:45, 13:00 – 17:00"", ""terça-feira: 08:00 – 11:45, 13:00 – 17:00"", ""quarta-feira: 08:00 – 11:45, 13:00 – 17:00"", ""quinta-feira: 08:00 – 11:45, 13:00 – 17:00"", ""sexta-feira: 08:00 – 11:45, 13:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9628987197085, 'lng': -51.1708983697085}, 'southwest': {'lat': -29.9655966802915, 'lng': -51.1735963302915}}
ChIJ-a1dV3J6GZURf-UZKAQPP7I;Porto Alegre/RS;Escola Estadual de Ensino Fundamental Álvaro Moreyra;Rua Hermes da Fonseca - Rio Branco, Canoas;False;OPERATIONAL;-29.9641554;-51.1850429;"[""Não disponível""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9628287697085, 'lng': -51.18379016970849}, 'southwest': {'lat': -29.9655267302915, 'lng': -51.18648813029149}}
ChIJQ8nyInR6GZURB1gd9NiP2YE;Porto Alegre/RS;Escola Infantil Vó Pedra;Rua Primavera, 670 - Rio Branco, Canoas;True;OPERATIONAL;-29.9625325;-51.1832867;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9610198697085, 'lng': -51.18199531970851}, 'southwest': {'lat': -29.9637178302915, 'lng': -51.1846932802915}}
ChIJqZEcznV6GZURkEY7S25sjRk;Porto Alegre/RS;E.E.E.F. Bartolomeu de Gusmão;Rua Primavera, 515 - Rio Branco, Canoas;True;OPERATIONAL;-29.96157279999999;-51.18155679999999;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9602922197085, 'lng': -51.18018546970849}, 'southwest': {'lat': -29.9629901802915, 'lng': -51.18288343029149}}
ChIJo3rYIQR6GZURqCBSfe6HI1I;Porto Alegre/RS;Emei Humaita;Rua Doutor Caio Brandão de Mello, 1 - Humaitá, Porto Alegre;False;OPERATIONAL;-29.98055500000001;-51.18563220000001;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9791098197085, 'lng': -51.1842495197085}, 'southwest': {'lat': -29.9818077802915, 'lng': -51.1869474802915}}
ChIJB5msHgR6GZURvXS3tL1-2ZU;Porto Alegre/RS;Zeppelin Idiomas - Unidade Humaitá;Avenida José Aloísio Filho, 801 - Humaitá, Porto Alegre;True;OPERATIONAL;-29.9810623;-51.18489089999999;"[""segunda-feira: 09:00 – 21:00"", ""terça-feira: 09:00 – 21:00"", ""quarta-feira: 09:00 – 21:00"", ""quinta-feira: 09:00 – 21:00"", ""sexta-feira: 09:00 – 12:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9796847197085, 'lng': -51.1836064197085}, 'southwest': {'lat': -29.9823826802915, 'lng': -51.1863043802915}}
ChIJYaXrOAR6GZURvmYJ6mTN4I4;Porto Alegre/RS;Escola Municipal de Ensino Fundamental Vereador Antônio Giúdice;Rua Doutor Caio Brandão de Mello, 1 - Humaitá, Porto Alegre;False;OPERATIONAL;-29.9804697;-51.18587609999999;"[""segunda-feira: 08:00 – 12:00, 13:15 – 17:15, 18:30 – 22:30"", ""terça-feira: 08:00 – 12:00, 13:15 – 17:15, 18:30 – 22:30"", ""quarta-feira: 08:00 – 12:00, 13:15 – 17:15, 18:30 – 22:30"", ""quinta-feira: 08:00 – 12:00, 13:15 – 17:15, 18:30 – 22:30"", ""sexta-feira: 08:00 – 12:00, 13:15 – 17:15, 18:30 – 22:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9790342197085, 'lng': -51.18449681970849}, 'southwest': {'lat': -29.9817321802915, 'lng': -51.18719478029149}}
ChIJ5WD_z5hwGZURpLsiA1L7sdk;Porto Alegre/RS;UBS - Nova Niterói;Rua Quaraí, 401 - Niterói, Canoas;True;OPERATIONAL;-29.9611644;-51.1734736;"[""segunda-feira: 08:00 – 17:00"", ""terça-feira: 08:00 – 17:00"", ""quarta-feira: 08:00 – 17:00"", ""quinta-feira: 08:00 – 17:00"", ""sexta-feira: 08:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9599145197085, 'lng': -51.1721197697085}, 'southwest': {'lat': -29.96261248029149, 'lng': -51.1748177302915}}
ChIJYxWsEQV6GZURgmc1E2-r8BM;Porto Alegre/RS;ESC Est Ens Fun Jose Garibaldi;Rua Doutor Caio Brandão de Mello, 300 - Parque Humaita, Porto Alegre;False;OPERATIONAL;-29.9800939;-51.1879146;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9786024697085, 'lng': -51.1865263197085}, 'southwest': {'lat': -29.9813004302915, 'lng': -51.1892242802915}}
ChIJLWZ6h3h7GZURi6zLbVdGjss;Porto Alegre/RS;Escola sest;Humaitá, Porto Alegre;False;OPERATIONAL;-29.9824929;-51.1846536;"[""Não disponível""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.98099931970849, 'lng': -51.1831949197085}, 'southwest': {'lat': -29.98369728029149, 'lng': -51.1858928802915}}
ChIJr8ZorbV7GZURznmrGg6UqlA;Porto Alegre/RS;EMEF Santos Dumont;Rua Arthur Bernardes, 654 - Niterói, Canoas;False;OPERATIONAL;-29.9615821;-51.1695594;"[""segunda-feira: 07:50 – 11:50, 13:00 – 17:00, 18:30 – 22:30"", ""terça-feira: 07:50 – 11:50, 13:00 – 17:00, 18:30 – 22:30"", ""quarta-feira: 07:50 – 11:50, 13:00 – 17:00, 18:30 – 22:30"", ""quinta-feira: 07:50 – 11:50, 13:00 – 17:00, 18:30 – 22:30"", ""sexta-feira: 07:50 – 11:50, 13:00 – 17:00, 18:30 – 22:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""primary_school"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.96022311970851, 'lng': -51.1681109697085}, 'southwest': {'lat': -29.9629210802915, 'lng': -51.1708089302915}}
ChIJa5SYPXF6GZURKQLs6e3uzyo;Porto Alegre/RS;Escola de Educação Infantil Pinóquio;Rua Ana Nery, 938 - Rio Branco, Canoas;True;OPERATIONAL;-29.9611279;-51.1859105;"[""segunda-feira: 07:00 – 17:30"", ""terça-feira: 07:00 – 17:30"", ""quarta-feira: 07:00 – 17:30"", ""quinta-feira: 07:00 – 17:30"", ""sexta-feira: 07:00 – 17:30"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9596754697085, 'lng': -51.1845976697085}, 'southwest': {'lat': -29.9623734302915, 'lng': -51.1872956302915}}
ChIJmTHU2XZ6GZURfflDvUKopLY;Porto Alegre/RS;Escola Infantil Anjo da Guarda Canoas;Rua Vereador Alcídes Nascimento, 960 - Rio Branco, Canoas;True;OPERATIONAL;-29.9596809;-51.1837963;"[""segunda-feira: 07:00 – 19:00"", ""terça-feira: 07:00 – 19:00"", ""quarta-feira: 07:00 – 19:00"", ""quinta-feira: 07:00 – 19:00"", ""sexta-feira: 07:00 – 19:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9582754697085, 'lng': -51.18246636970851}, 'southwest': {'lat': -29.9609734302915, 'lng': -51.18516433029151}}
ChIJKyJpWGR7GZURrTOCZceG7JI;Porto Alegre/RS;Magias de Madalena;Avenida José Aloísio Filho, 595 - Humaitá, Porto Alegre;True;OPERATIONAL;-29.9830613;-51.1863391;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""health"", ""store"", ""school"", ""point_of_interest"", ""establishment""]";school;{'northeast': {'lat': -29.9816539197085, 'lng': -51.1850714197085}, 'southwest': {'lat': -29.9843518802915, 'lng': -51.1877693802915}}
