id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJqQyxbip5GZURwJgc0eFT3jw;Porto Alegre/RS;Caroline Hoffmann Store;Rua Centro Esportivo Zona Sul - Cavalhada, Porto Alegre;False;OPERATIONAL;-30.0346316;-51.2176986;"[""Não disponível""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0332766197085, 'lng': -51.2163548697085}, 'southwest': {'lat': -30.0359745802915, 'lng': -51.2190528302915}}
ChIJM3Itoat5GZURiPwS420ZsaU;Porto Alegre/RS;Blue Systems Informatica;Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0346316;-51.2176986;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0332766197085, 'lng': -51.2163548697085}, 'southwest': {'lat': -30.0359745802915, 'lng': -51.2190528302915}}
ChIJM3Itoat5GZUR-ULRvc0t-vc;Porto Alegre/RS;Santacruz;Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0346316;-51.2176986;"[""Não disponível""]";"[""hospital"", ""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0332766197085, 'lng': -51.2163548697085}, 'southwest': {'lat': -30.0359745802915, 'lng': -51.2190528302915}}
ChIJX7Inoat5GZURcwomYOCF7UY;Porto Alegre/RS;Urban TV;RS;False;OPERATIONAL;-30.0346432;-51.2176587;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333125197085, 'lng': -51.2162910697085}, 'southwest': {'lat': -30.03601048029149, 'lng': -51.2189890302915}}
ChIJTb0noat5GZURHKg4CgO1nTw;Porto Alegre/RS;INCT Hormona;Rua Ramiro Barcelos, 2350 – Prédio 21 – 6º andar – Sala 607, Porto Alegre;False;OPERATIONAL;-30.0346471;-51.2176584;"[""Não disponível""]";"[""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJTb0noat5GZURSuu72w-Br0A;Porto Alegre/RS;Artesanato do Futuro;Terceira Perimetral, 100, Porto Alegre;False;OPERATIONAL;-30.0346471;-51.2176584;"[""Não disponível""]";"[""furniture_store"", ""home_goods_store"", ""store"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJmcFrVQKDGZUR5FYHUpj33Xg;Porto Alegre/RS;Brubis Design;Porto Alegre;False;OPERATIONAL;-30.0346471;-51.2176584;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJV0PvrZ95GZURlvRvLENz8J4;Porto Alegre/RS;Circo Thiany;Porto Alegre;True;OPERATIONAL;-30.0346471;-51.2176584;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJa-CM4iB5GZUR4OSCbxeGFUo;Porto Alegre/RS;Rodrigo Noguera - Fisioterapeuta - Atendimento domiciliar;Porto Alegre;True;OPERATIONAL;-30.0346471;-51.2176584;"[""segunda-feira: 08:00 – 19:00"", ""terça-feira: 08:00 – 19:00"", ""quarta-feira: 08:00 – 19:00"", ""quinta-feira: 08:00 – 19:00"", ""sexta-feira: 08:00 – 19:00"", ""sábado: 08:00 – 19:00"", ""domingo: Atendimento 24 horas""]";"[""physiotherapist"", ""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJSVDMGYZ5GZURYDDsQBwXfSE;Porto Alegre/RS;Gervásio Da Rosa;Porto Alegre;False;OPERATIONAL;-30.0346471;-51.2176584;"[""Não disponível""]";"[""doctor"", ""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJWcH_nJt5GZUR384iFChaeSE;Porto Alegre/RS;Nhatash;Porto Alegre;False;OPERATIONAL;-30.0346471;-51.2176584;"[""Não disponível""]";"[""health"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJF29hKsN5GZURxYiLFb_BT50;Porto Alegre/RS;Hinode Manaus 10;Porto Alegre;False;OPERATIONAL;-30.0346471;-51.2176584;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJ1bmYXet5GZURYLKTfgXn1uU;Porto Alegre/RS;Basalto direto da pedreira;Porto Alegre;True;OPERATIONAL;-30.0346471;-51.2176584;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: Atendimento 24 horas""]";"[""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
ChIJTb0noat5GZURXTU_BFEh3_w;Porto Alegre/RS;Gegimento De Cavaleria Blindada;Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0346471;-51.2176584;"[""Não disponível""]";"[""police"", ""point_of_interest"", ""establishment""]";shop;{'northeast': {'lat': -30.0333141197085, 'lng': -51.2162930697085}, 'southwest': {'lat': -30.0360120802915, 'lng': -51.21899103029149}}
