id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJlY2LGr95GZURhtPbCVZucKg;Porto Alegre/RS;pijamazzz;Rua Vieira de Castro, 52 - Farroupilha, Porto Alegre;False;OPERATIONAL;-30.03831000000001;-51.2123986;"[""Não disponível""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.0369839197085, 'lng': -51.2110910197085}, 'southwest': {'lat': -30.0396818802915, 'lng': -51.21378898029149}}
ChIJ_Wye3TJ5GZURUlgKGWyax5k;Porto Alegre/RS;Livraria Paralelo 30;Rua Vieira de Castro, 48 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.0382806;-51.2124355;"[""segunda-feira: Fechado"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 08:30 – 19:00"", ""domingo: 11:00 – 17:00""]";"[""book_store"", ""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.0369515197085, 'lng': -51.2111225197085}, 'southwest': {'lat': -30.0396494802915, 'lng': -51.2138204802915}}
ChIJOyTX7Oh5GZUR-MhexT95tjY;Porto Alegre/RS;Physis Pilates;Rua Vieira de Castro, 56/302 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.03838739999999;-51.2123327;"[""segunda-feira: 08:00 – 20:00"", ""terça-feira: 08:00 – 20:00"", ""quarta-feira: 08:00 – 20:00"", ""quinta-feira: 08:00 – 20:00"", ""sexta-feira: 08:00 – 13:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""physiotherapist"", ""gym"", ""health"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.03706301970849, 'lng': -51.21102826970849}, 'southwest': {'lat': -30.03976098029149, 'lng': -51.21372623029149}}
ChIJf5f1W1J4GZUR0lHZFJlce-w;Porto Alegre/RS;Outlet da Bruh - Loja de Roupas Moda Masculina e Feminina;Rua Vieira de Castro, 44 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.0382473;-51.2124794;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: 09:00 – 17:00"", ""domingo: 10:00 – 17:00""]";"[""clothing_store"", ""store"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.0369135697085, 'lng': -51.2111580697085}, 'southwest': {'lat': -30.03961153029149, 'lng': -51.2138560302915}}
ChIJPy6S2lSCGZURXRHQPyY5VpU;Porto Alegre/RS;VILANOVA Engenharia & Consultoria;Rua Vieira de Castro, 50/404 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.0382614;-51.21237669999999;"[""segunda-feira: Atendimento 24 horas"", ""terça-feira: Atendimento 24 horas"", ""quarta-feira: Atendimento 24 horas"", ""quinta-feira: Atendimento 24 horas"", ""sexta-feira: Atendimento 24 horas"", ""sábado: Atendimento 24 horas"", ""domingo: 07:00 – 20:00""]";"[""finance"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.0369466697085, 'lng': -51.2110896197085}, 'southwest': {'lat': -30.03964463029149, 'lng': -51.21378758029149}}
ChIJcazW29F5GZURlUatMoFcggU;Porto Alegre/RS;Psicóloga Greice Carvalho;Rua Vieira de Castro, 50 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.0382436;-51.2123876;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 09:30 – 19:30"", ""quarta-feira: 09:30 – 19:30"", ""quinta-feira: 09:30 – 19:30"", ""sexta-feira: 09:30 – 19:30"", ""sábado: 08:30 – 13:00"", ""domingo: Fechado""]";"[""health"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.0369292697085, 'lng': -51.2111013197085}, 'southwest': {'lat': -30.0396272302915, 'lng': -51.2137992802915}}
ChIJFang2315GZURAx8his0cfSY;Porto Alegre/RS;[Ox]igênio Lab;Rua Vieira de Castro, 50 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.0382436;-51.2123876;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.0369292697085, 'lng': -51.2111013197085}, 'southwest': {'lat': -30.0396272302915, 'lng': -51.2137992802915}}
ChIJiRFIXFJ4GZURF5c5VK38XHk;Porto Alegre/RS;Cristina Baum Advocacia;Rua Vieira de Castro, 50 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.0382436;-51.2123876;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""lawyer"", ""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.0369292697085, 'lng': -51.2111013197085}, 'southwest': {'lat': -30.0396272302915, 'lng': -51.2137992802915}}
ChIJuaCHWVJ4GZURMesaIw_Rj2s;Porto Alegre/RS;Ápice Arquitetura e Construções;Rua Vieira de Castro, 50 - Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0382436;-51.2123876;"[""Não disponível""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.0369292697085, 'lng': -51.2111013197085}, 'southwest': {'lat': -30.0396272302915, 'lng': -51.2137992802915}}
ChIJlfzMGgB5GZURjsniQ29dyac;Porto Alegre/RS;Isabel Marroni Art;Rua Vieira de Castro, 80 - Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0384643;-51.2122803;"[""segunda-feira: Fechado"", ""terça-feira: 09:00 – 16:00"", ""quarta-feira: Fechado"", ""quinta-feira: 09:00 – 16:00"", ""sexta-feira: Fechado"", ""sábado: 10:00 – 13:00"", ""domingo: 09:00 – 17:00""]";"[""point_of_interest"", ""establishment""]";theater;{'northeast': {'lat': -30.03713906970849, 'lng': -51.2109743197085}, 'southwest': {'lat': -30.03983703029149, 'lng': -51.2136722802915}}
