id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;types;search_type;viewport
ChIJxTQARRLk3JQRwXys9Jw7p9s;Curitiba/PR;Uninter Curitiba Polo Praça Tiradentes;Travessa Tobias de Macedo, 37 - Centro, Curitiba;True;OPERATIONAL;-25.4292421;-49.2706326;"[""segunda-feira: 08:30 – 22:00"", ""terça-feira: 08:30 – 22:00"", ""quarta-feira: 08:30 – 22:00"", ""quinta-feira: 08:30 – 22:00"", ""sexta-feira: 08:30 – 22:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4279311697085, 'lng': -49.2692628697085}, 'southwest': {'lat': -25.4306291302915, 'lng': -49.2719608302915}}
ChIJlY21mhLk3JQRjk_6N5IFE6s;Curitiba/PR;História – Adepar;Rua José Bonifácio, 66 - Centro, Curitiba;False;OPERATIONAL;-25.428536;-49.27179100000001;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4270182197085, 'lng': -49.2705440197085}, 'southwest': {'lat': -25.4297161802915, 'lng': -49.2732419802915}}
ChIJy8CVlozl3JQRv98KXa7XZIA;Curitiba/PR;UNESPAR - Universidade Estadual do Paraná - Embap - Campus Curitiba 1;Rua Saldanha Marinho, 131 - Centro, Curitiba;True;OPERATIONAL;-25.429375;-49.2730067;"[""segunda-feira: 10:00 – 22:00"", ""terça-feira: 10:00 – 22:00"", ""quarta-feira: 10:00 – 22:00"", ""quinta-feira: 10:00 – 22:00"", ""sexta-feira: 10:00 – 22:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4279231697085, 'lng': -49.2716321697085}, 'southwest': {'lat': -25.4306211302915, 'lng': -49.2743301302915}}
ChIJ5arrw3Xl3JQRCJoFGWHfxK8;Curitiba/PR;Edifício João Prosdócimo;Rua Saldanha Marinho, 131 - Centro, Curitiba;False;OPERATIONAL;-25.429375;-49.2730067;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4279231697085, 'lng': -49.2716321697085}, 'southwest': {'lat': -25.4306211302915, 'lng': -49.2743301302915}}
ChIJU_40B5fl3JQRCUgWDEyJaHg;Curitiba/PR;Universidade Santo Amaro - Polo Curitiba Centro - PR;Rua São Francisco, 232 Sala 602, 6º andar - Centro, Curitiba;False;OPERATIONAL;-25.42787999999999;-49.27065049999999;"[""segunda-feira: 12:00 – 18:00"", ""terça-feira: Fechado"", ""quarta-feira: Fechado"", ""quinta-feira: Fechado"", ""sexta-feira: Fechado"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.42658486970849, 'lng': -49.26931766970849}, 'southwest': {'lat': -25.4292828302915, 'lng': -49.27201563029149}}
ChIJJ9SixGzk3JQRGGIGM_AA4k0;Curitiba/PR;Cotitel Cooperativa TI e Telecom;Condomínio Edifício Banco Nacional do Comércio - Rua Monsenhor Celso, 154 - 705 - Centro, Curitiba;True;OPERATIONAL;-25.431552;-49.270587;"[""segunda-feira: 09:00 – 17:00"", ""terça-feira: 09:00 – 17:00"", ""quarta-feira: 09:00 – 17:00"", ""quinta-feira: 09:00 – 17:00"", ""sexta-feira: 09:00 – 17:00"", ""sábado: Fechado"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4302615697085, 'lng': -49.26915156970851}, 'southwest': {'lat': -25.43295953029151, 'lng': -49.2718495302915}}
ChIJD2CFNW3k3JQRg7sJk8e5Gj8;Curitiba/PR;Uniandrade;Alameda Doutor Muricy, 706 - Centro, Curitiba;True;OPERATIONAL;-25.4312431;-49.27272749999999;"[""segunda-feira: 08:00 – 21:00"", ""terça-feira: 08:00 – 21:00"", ""quarta-feira: 08:00 – 21:00"", ""quinta-feira: 08:00 – 21:00"", ""sexta-feira: 08:00 – 21:00"", ""sábado: 08:00 – 12:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4299082697085, 'lng': -49.27141516970849}, 'southwest': {'lat': -25.4326062302915, 'lng': -49.27411313029149}}
ChIJj0q-ehLk3JQRzSiTThklN4c;Curitiba/PR;Uninter Divina Providência;Rua do Rosário, 147 - Centro, Curitiba;False;OPERATIONAL;-25.4282342;-49.2733775;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4270117697085, 'lng': -49.2724088197085}, 'southwest': {'lat': -25.42970973029151, 'lng': -49.27510678029149}}
ChIJRVRX86jl3JQRTv0usx2grqg;Curitiba/PR;Graduação EAD Premium Unifacvest;Rua XV de Novembro, 518 - Centro, Curitiba;False;OPERATIONAL;-25.4302267;-49.2688087;"[""Não disponível""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4288227697085, 'lng': -49.26764601970851}, 'southwest': {'lat': -25.4315207302915, 'lng': -49.2703439802915}}
ChIJsb5861_l3JQRP3a-z8VJHGw;Curitiba/PR;Polo Curitiba - Centro;Rua Marechal Deodoro, 344 - 15 Andar - Centro, Curitiba;True;OPERATIONAL;-25.43129020000001;-49.2690394;"[""segunda-feira: 10:00 – 19:00"", ""terça-feira: 10:00 – 19:00"", ""quarta-feira: 10:00 – 19:00"", ""quinta-feira: 10:00 – 19:00"", ""sexta-feira: 10:00 – 19:00"", ""sábado: 09:00 – 13:00"", ""domingo: Fechado""]";"[""university"", ""point_of_interest"", ""establishment""]";university;{'northeast': {'lat': -25.4298765197085, 'lng': -49.2677231197085}, 'southwest': {'lat': -25.4325744802915, 'lng': -49.2704210802915}}
