id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJ7_k6uIiOpJIR2lLrjLQTLlU;Belém/PA;Avenida Gentil Bitencourt | Parque Cemitério Soledade (Seletiva 02);Nazaré, Belém;Indisponível;OPERATIONAL;-1.4565791;-48.4898624;Não disponível;{'northeast': {'lat': -1.455222170107278, 'lng': -48.48851772010728}, 'southwest': {'lat': -1.457921829892722, 'lng': -48.49121737989272}}
ChIJr3Q7x4iOpJIRv3E-SQ_Ktd8;Belém/PA;Avenida Gentil Bitencourt | Parque Cemitério Soledade (Seletiva 01);Nazaré, Belém;Indisponível;OPERATIONAL;-1.4567385;-48.4900806;Não disponível;{'northeast': {'lat': -1.455380470107278, 'lng': -48.48873672010728}, 'southwest': {'lat': -1.458080129892722, 'lng': -48.49143637989272}}
ChIJIQ8FIY-OpJIRiemchd6_EHc;Belém/PA;Avenida Comandante Brás de Águiar, 103-a;Nazaré, Belém;Indisponível;OPERATIONAL;-1.4553339;-48.4910333;Não disponível;{'northeast': {'lat': -1.454019570107278, 'lng': -48.48967597010728}, 'southwest': {'lat': -1.456719229892722, 'lng': -48.49237562989272}}
ChIJUQbUZY-OpJIRo3Xdt0-ib70;Belém/PA;Avenida Comandante Brás de Águiar, 293;Nazaré, Belém;Indisponível;OPERATIONAL;-1.4549132;-48.4892086;Não disponível;{'northeast': {'lat': -1.453600470107278, 'lng': -48.48784977010728}, 'southwest': {'lat': -1.456300129892722, 'lng': -48.49054942989273}}
ChIJE0HSAYaOpJIRc7ycp6zO3OI;Belém/PA;Avenida Gentil Bitencourt, 384a;Belém;Indisponível;OPERATIONAL;-1.4561844;-48.488689;Não disponível;{'northeast': {'lat': -1.454809570107278, 'lng': -48.48734202010727}, 'southwest': {'lat': -1.457509229892722, 'lng': -48.49004167989272}}
ChIJe7TqXoiOpJIRr56oKMyzE6o;Belém/PA;Avenida Serzedelo Corrêa | Parque Cemitério Soledade;Belém;Indisponível;OPERATIONAL;-1.4580965;-48.4902026;Não disponível;{'northeast': {'lat': -1.456731970107278, 'lng': -48.48882992010728}, 'southwest': {'lat': -1.459431629892722, 'lng': -48.49152957989272}}
ChIJbUHGY4iOpJIRdLRMvMvJkQ8;Belém/PA;Avenida Conselheiro Furtado | Parque Cemitério Soledade;Belém;Indisponível;OPERATIONAL;-1.458059;-48.4895954;Não disponível;{'northeast': {'lat': -1.456742420107278, 'lng': -48.48822222010728}, 'southwest': {'lat': -1.459442079892722, 'lng': -48.49092187989272}}
ChIJjx-ATo6OpJIRZiL9rWN5N50;Belém/PA;Avenida Nª Senhora de Nazaré, 134;Nazaré, Belém;Indisponível;OPERATIONAL;-1.4537167;-48.4915347;Não disponível;{'northeast': {'lat': -1.452341170107277, 'lng': -48.49019152010726}, 'southwest': {'lat': -1.455040829892722, 'lng': -48.49289117989271}}
ChIJ10mmOIaOpJIRhwKC9QS2K8A;Belém/PA;Avenida Conselheiro Furtado | Drogasil;Belém;Indisponível;OPERATIONAL;-1.4572096;-48.4874842;Não disponível;{'northeast': {'lat': -1.455869220107278, 'lng': -48.48613317010728}, 'southwest': {'lat': -1.458568879892722, 'lng': -48.48883282989272}}
ChIJAfasn46OpJIRnK1grHXE0F4;Belém/PA;Rua Gama Abreu, 124b;Belém;Indisponível;OPERATIONAL;-1.455147;-48.4935908;Não disponível;{'northeast': {'lat': -1.453778170107278, 'lng': -48.49226447010728}, 'southwest': {'lat': -1.456477829892722, 'lng': -48.49496412989272}}
