id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJs_57p1U4J5URiB82a7VnmZY;Florianópolis/SC;Trindade Shopping;R. Lauro Linhares, 2123 - Trindade, Florianópolis;True;OPERATIONAL;-27.5968381;-48.5204168;['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59550152010728, 'lng': -48.51912962010728}, 'southwest': {'lat': -27.59820117989272, 'lng': -48.52182927989272}}
ChIJbVJQQlQ4J5URVeskClgLFpM;Florianópolis/SC;Balik Design;R. Des. Vítor Lima, 260 - Sala 1101 - Trindade, Florianópolis;True;OPERATIONAL;-27.596758;-48.522348;['Monday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59552707010728, 'lng': -48.52109307010728}, 'southwest': {'lat': -27.59822672989273, 'lng': -48.52379272989273}}
ChIJW2kZzlU4J5UR85m1AiNjFuo;Florianópolis/SC;Centro Executivo Ernesto Pausewang;R. Lauro Linhares, 1849 - Trindade, Florianópolis;Indisponível;OPERATIONAL;-27.5951714;-48.5207583;Não disponível;{'northeast': {'lat': -27.59385252010728, 'lng': -48.51954172010728}, 'southwest': {'lat': -27.59655217989272, 'lng': -48.52224137989273}}
ChIJlZDjwlU4J5URQANPOeuu-zI;Florianópolis/SC;Condomínio Comercial Meridian Office;R. Cônego Bernardo, 101 - Trindade, Florianópolis;True;OPERATIONAL;-27.5949679;-48.5201882;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];{'northeast': {'lat': -27.59370992010728, 'lng': -48.51879772010727}, 'southwest': {'lat': -27.59640957989272, 'lng': -48.52149737989271}}
ChIJw4-OLFQ4J5URmIDTWmR0d_Q;Florianópolis/SC;Premium;Trindade, Florianópolis;Indisponível;OPERATIONAL;-27.5950063;-48.5214067;Não disponível;{'northeast': {'lat': -27.59364147010728, 'lng': -48.52002432010728}, 'southwest': {'lat': -27.59634112989272, 'lng': -48.52272397989272}}
ChIJ4_bcEFY4J5URsXqaOsjRHbI;Florianópolis/SC;Portcom – Telefonia Empresarial;R. Santa Luzia, 100 - Trindade, Florianópolis;Indisponível;OPERATIONAL;-27.593245;-48.5194743;Não disponível;{'northeast': {'lat': -27.59186287010727, 'lng': -48.51796447010727}, 'southwest': {'lat': -27.59456252989272, 'lng': -48.52066412989272}}
ChIJkxtfv4E5J5URWB5TWi246Es;Florianópolis/SC;Floripa Imobiliária;R. Santa Luzia, 100 - sala 605 - Trindade, Florianópolis;True;OPERATIONAL;-27.5932216;-48.51953229999999;['Monday: 8:30\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59183452010728, 'lng': -48.51799777010728}, 'southwest': {'lat': -27.59453417989272, 'lng': -48.52069742989273}}
ChIJlwXQEFY4J5URksm2oT71a7E;Florianópolis/SC;The Place Office;R. Santa Luzia, 100 - 317 - Trindade, Florianópolis;True;OPERATIONAL;-27.5932216;-48.51953229999999;['Monday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59183452010728, 'lng': -48.51799777010728}, 'southwest': {'lat': -27.59453417989272, 'lng': -48.52069742989273}}
ChIJJ_5_vc9AJ5URPjvINgON4wM;Florianópolis/SC;Centro Executivo Aldo Kuerten;Av. Me. Benvenuta, 1168 - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5904469;-48.5100652;['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.58896457010728, 'lng': -48.50879357010728}, 'southwest': {'lat': -27.59166422989272, 'lng': -48.51149322989272}}
ChIJLZm_Elw4J5URM1k7c8XkJII;Florianópolis/SC;Business center Monchique;Centro Executivo Monchique - R. Lauro Linhares, 728 - Trindade, Florianópolis;True;OPERATIONAL;-27.5856417;-48.5249895;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];{'northeast': {'lat': -27.58433122010728, 'lng': -48.52350892010728}, 'southwest': {'lat': -27.58703087989273, 'lng': -48.52620857989272}}
