id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJ5YbCj904J5URquoIu0ucr30;Florianópolis/SC;Health Center Itacorubi;Rod. Amaro Antônio Viêira, 2260 - Itacorubi, Florianópolis;True;OPERATIONAL;-27.584638;-48.4983127;['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.58321782010728, 'lng': -48.49691377010728}, 'southwest': {'lat': -27.58591747989272, 'lng': -48.49961342989272}}
ChIJb4O8PVI5J5URB6Al6WlaGuM;Florianópolis/SC;CS João Paulo;Rodovia João Paulo, s/nº Final da rua ao lado da Escola José do Valle Pereira - João Paulo, Florianópolis;True;OPERATIONAL;-27.5617815;-48.5135036;['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.56043882010728, 'lng': -48.51214742010728}, 'southwest': {'lat': -27.56313847989272, 'lng': -48.51484707989272}}
ChIJC2h4aew5J5UR4V1tSaKVbGo;Florianópolis/SC;Centro de Saúde Pantanal;R. Dep. Antônio Edu Vieira, 855 - Pantanal, Florianópolis;True;OPERATIONAL;-27.6082274;-48.5212535;['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.60688332010728, 'lng': -48.51976537010728}, 'southwest': {'lat': -27.60958297989272, 'lng': -48.52246502989272}}
ChIJeboDC645J5URSmpWAZZwQVM;Florianópolis/SC;Centro de Saúde Saco dos Limões;R. Aldo Alves, 228 - Saco dos Limões, Florianópolis;True;OPERATIONAL;-27.6154244;-48.5269853;['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.61408677010728, 'lng': -48.52559677010727}, 'southwest': {'lat': -27.61678642989272, 'lng': -48.52829642989271}}
ChIJy9ZlVqM_J5URRSHNKzxHbnY;Florianópolis/SC;Centro de Saúde Costa da Lagoa;Servidão Caminho Costa da Lagoa, Ponto 16 - Costa da Lagoa, Florianópolis;True;OPERATIONAL;-27.5426623;-48.4612451;['Monday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.54179790000001, 'lng': -48.45989557010728}, 'southwest': {'lat': -27.5448807, 'lng': -48.46259522989272}}
ChIJP9X1yHQ7J5UR0iyacMNerA0;Florianópolis/SC;HCLINIC Saúde Integrativa & Estética Avançada;Rodovia Dr. Antônio Luiz Moura Gonzaga, 3339 - sala 302 - bloco C - Rio Tavares, Florianópolis;True;OPERATIONAL;-27.6578619;-48.4860835;['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.65629322010728, 'lng': -48.48492492010728}, 'southwest': {'lat': -27.65899287989272, 'lng': -48.48762457989272}}
ChIJbbjQYydBJ5URc-yOgR_ugMw;Florianópolis/SC;Health Center Ratones;Estr. João Januário da Silva, 5180 - Ratones, Florianópolis;True;OPERATIONAL;-27.5054004;-48.4709282;['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.50400302010727, 'lng': -48.46956107010728}, 'southwest': {'lat': -27.50670267989272, 'lng': -48.47226072989272}}
ChIJ3yFjAOxFJ5UR9RrhMgAnFOU;Florianópolis/SC;Centro de Saúde Jurerê;R. Jurerê Tradicional, 242 - Jurerê, Florianópolis;True;OPERATIONAL;-27.4422944;-48.4836343;['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.44094502010728, 'lng': -48.48222207010728}, 'southwest': {'lat': -27.44364467989272, 'lng': -48.48492172989272}}
ChIJeXQ6WkE1J5URm1oJerI5N_I;Florianópolis/SC;HEALTH CENTER MADRID;AV DAS TIPUANAS - LOTEMANETO MADRI, Palhoça;True;OPERATIONAL;-27.6416281;-48.7033205;['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.64022957010728, 'lng': -48.70197162010727}, 'southwest': {'lat': -27.64292922989273, 'lng': -48.70467127989272}}
ChIJy15c_U3KIJUR-1mK5iLLuFo;Florianópolis/SC;Central Health Center;R. Santana, 4710 - Centro, Santo Amaro da Imperatriz;True;OPERATIONAL;-27.6847588;-48.7699683;['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.68346402010728, 'lng': -48.76863102010727}, 'southwest': {'lat': -27.68616367989272, 'lng': -48.77133067989271}}
