id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;viewport
ChIJtUoe2XfhYY0RtyTdnedvXnM;Macapá/AP;Hospital Central de Macapá;Rod. Josmar Chaves Pinto - Jardim Marco Zero, Macapá;False;OPERATIONAL;0.0037323;-51.0742601;"[""Não disponível""]";{'northeast': {'lat': 0.005128579892722216, 'lng': -51.07295117010727}, 'southwest': {'lat': 0.002428920107277784, 'lng': -51.07565082989272}}
ChIJ58p5u6DhYY0RjWi05XxmbG8;Macapá/AP;Hospital Central de Macapá - Pronto Atendimento Infantil;R. Samuel Trajano de Souza, 2-522 - Jardim Marco Zero, Macapá;False;OPERATIONAL;0.003629499999999999;-51.0743623;"[""Não disponível""]";{'northeast': {'lat': 0.005029379892722216, 'lng': -51.07305652010728}, 'southwest': {'lat': 0.002329720107277784, 'lng': -51.07575617989272}}
ChIJl17ZMADhYY0R2WUDKrDovjw;Macapá/AP;Hospital;R. Samuel Trajano de Souza, 2-522 - Jardim Marco Zero, Macapá;False;OPERATIONAL;0.003602699999999999;-51.0743966;"[""Não disponível""]";{'northeast': {'lat': 0.005001629892722215, 'lng': -51.07308997010728}, 'southwest': {'lat': 0.002301970107277783, 'lng': -51.07578962989272}}
ChIJ5dNUJQDhYY0R5IFrFORFytg;Macapá/AP;Hospital Marco Zero;Rod. Josmar Chaves Pinto, 961 - Jardim Marco Zero, Macapá;True;OPERATIONAL;0.0036032;-51.07440649999999;"[""Segunda-feira: Aberto 24 horas"", ""Terça-feira: Aberto 24 horas"", ""Quarta-feira: Aberto 24 horas"", ""Quinta-feira: Aberto 24 horas"", ""Sexta-feira: Aberto 24 horas"", ""Sábado: Aberto 24 horas"", ""Domingo: Aberto 24 horas""]";{'northeast': {'lat': 0.004999529892722216, 'lng': -51.07309762010728}, 'southwest': {'lat': 0.002299870107277784, 'lng': -51.07579727989273}}
ChIJL6gBMQDhYY0RSYuzWiI-66U;Macapá/AP;Santa Inês;R. Jovino Dinoá - Beirol, Macapá;False;OPERATIONAL;0.0168183;-51.0614672;"[""Não disponível""]";{'northeast': {'lat': 0.01816812989272221, 'lng': -51.06011737010728}, 'southwest': {'lat': 0.01546847010727778, 'lng': -51.06281702989272}}
ChIJt4QDWeDhYY0R98Rq5nLwmu0;Macapá/AP;Hospital Sarah Kubitschek;Rod. Josmar Chaves Pinto, 2011 - 12 - Jardim Equatorial, Macapá;False;OPERATIONAL;-0.0062904;-51.0818064;"[""Segunda-feira: 07:00 – 17:30"", ""Terça-feira: 07:00 – 17:30"", ""Quarta-feira: 07:00 – 17:30"", ""Quinta-feira: 07:00 – 17:30"", ""Sexta-feira: 07:00 – 17:30"", ""Sábado: 07:00 – 17:30"", ""Domingo: 07:00 – 17:30""]";{'northeast': {'lat': -0.004922620107277784, 'lng': -51.08051897010728}, 'southwest': {'lat': -0.007622279892722215, 'lng': -51.08321862989272}}
ChIJuTH-gh0enpIRAVUzUcgCj7Y;Macapá/AP;Hospital Universitário (HU) - UNIFAP;R. do Estádio Zerão, s/n - Universidade, Macapá;True;OPERATIONAL;-0.0007369999999999999;-51.0826675;"[""Segunda-feira: Aberto 24 horas"", ""Terça-feira: Aberto 24 horas"", ""Quarta-feira: Aberto 24 horas"", ""Quinta-feira: Aberto 24 horas"", ""Sexta-feira: Aberto 24 horas"", ""Sábado: Aberto 24 horas"", ""Domingo: Aberto 24 horas""]";{'northeast': {'lat': 0.000494279892722216, 'lng': -51.08114582010727}, 'southwest': {'lat': -0.002205379892722216, 'lng': -51.08384547989272}}
ChIJvfhOZQAfnpIRMnIe3SNmwFc;Macapá/AP;UTI - Hospital Universitário;R. do Estádio Zerão, s/n - Universidade, Macapá;False;OPERATIONAL;-0.0008223999999999999;-51.0827746;"[""Não disponível""]";{'northeast': {'lat': 0.0004200298927222157, 'lng': -51.08119937010727}, 'southwest': {'lat': -0.002279629892722216, 'lng': -51.08389902989272}}
ChIJHXLcz_zhYY0Rwlr2M2PYF9M;Macapá/AP;UPA 24h - Zona Sul;Av. Ivaldo Alves Veras - Jardim Marco Zero, Macapá;True;OPERATIONAL;0.0022769;-51.0859725;"[""Segunda-feira: Aberto 24 horas"", ""Terça-feira: Aberto 24 horas"", ""Quarta-feira: Aberto 24 horas"", ""Quinta-feira: Aberto 24 horas"", ""Sexta-feira: Aberto 24 horas"", ""Sábado: Aberto 24 horas"", ""Domingo: Aberto 24 horas""]";{'northeast': {'lat': 0.003766179892722216, 'lng': -51.08462207010728}, 'southwest': {'lat': 0.001066520107277785, 'lng': -51.08732172989272}}
ChIJ71SYDaPhYY0Rk-awfYmWlJU;Macapá/AP;Mundimed;Av. 13 de Setembro, 1518 - Buritizal, Macapá;True;OPERATIONAL;0.0230351;-51.07108789999999;"[""Segunda-feira: 07:30 – 23:00"", ""Terça-feira: 07:30 – 23:00"", ""Quarta-feira: 07:30 – 23:00"", ""Quinta-feira: 07:30 – 23:00"", ""Sexta-feira: 07:30 – 23:00"", ""Sábado: 07:30 – 23:00"", ""Domingo: 07:30 – 23:00""]";{'northeast': {'lat': 0.02428577989272221, 'lng': -51.06974427010727}, 'southwest': {'lat': 0.02158612010727778, 'lng': -51.07244392989272}}
ChIJadwAPIThYY0RLsYSvhTlQR4;Macapá/AP;Neurocor;Acelino de Leão, 926 - Trem, Macapá;False;OPERATIONAL;0.026458;-51.0643945;"[""Segunda-feira: 07:00 – 18:00"", ""Terça-feira: 07:00 – 18:00"", ""Quarta-feira: 07:00 – 18:00"", ""Quinta-feira: 07:00 – 18:00"", ""Sexta-feira: 07:00 – 18:00"", ""Sábado: 07:00 – 12:00"", ""Domingo: Fechado""]";{'northeast': {'lat': 0.02771842989272221, 'lng': -51.06305022010728}, 'southwest': {'lat': 0.02501877010727778, 'lng': -51.06574987989273}}
ChIJYUKMVKDhYY0R35bmI76HxPg;Macapá/AP;Isame - Instituto de Saúde Mental;Av. Desidério Antônio Coelho, 1867 - Trem, Macapá;False;OPERATIONAL;0.0274119;-51.0728068;"[""Segunda-feira: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"", ""Terça-feira: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"", ""Quarta-feira: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"", ""Quinta-feira: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"", ""Sexta-feira: 8:00 AM – 12:00 PM, 2:00 – 6:00 PM"", ""Sábado: 08:00 – 12:00"", ""Domingo: Fechado""]";{'northeast': {'lat': 0.02886152989272221, 'lng': -51.07144942010727}, 'southwest': {'lat': 0.02616187010727778, 'lng': -51.07414907989271}}
ChIJlTdm7JHhYY0R5SVoQqmGyEk;Macapá/AP;AmorSaúde Macapá;Av. Antônio Coelho de Carvalho, 1399 - Santa Rita, Macapá;False;OPERATIONAL;0.0320076;-51.0638953;"[""Segunda-feira: 07:00 – 18:00"", ""Terça-feira: 07:00 – 18:00"", ""Quarta-feira: 07:00 – 18:00"", ""Quinta-feira: 07:00 – 18:00"", ""Sexta-feira: 07:00 – 18:00"", ""Sábado: 08:00 – 12:00"", ""Domingo: Fechado""]";{'northeast': {'lat': 0.03349712989272222, 'lng': -51.06253707010728}, 'southwest': {'lat': 0.03079747010727779, 'lng': -51.06523672989272}}
ChIJ6cOLcRrhYY0RwoLQQwQk3RQ;Macapá/AP;Pronto Socorro Osvaldo Cruz;R. Hamilton Silva, 1648 - Trem, Macapá;True;OPERATIONAL;0.0346462;-51.0647517;"[""Segunda-feira: Aberto 24 horas"", ""Terça-feira: Aberto 24 horas"", ""Quarta-feira: Aberto 24 horas"", ""Quinta-feira: Aberto 24 horas"", ""Sexta-feira: Aberto 24 horas"", ""Sábado: Aberto 24 horas"", ""Domingo: Aberto 24 horas""]";{'northeast': {'lat': 0.03588392989272221, 'lng': -51.06320832010728}, 'southwest': {'lat': 0.03318427010727779, 'lng': -51.06590797989273}}
ChIJwbcGaiXhYY0RRk295igUT1k;Macapá/AP;Hospital de Emergência Oswaldo Cruz;R. Hamilton Silva, 139 - Central, Macapá;False;OPERATIONAL;0.0346772;-51.0647131;"[""Não disponível""]";{'northeast': {'lat': 0.03604287989272221, 'lng': -51.06351477010728}, 'southwest': {'lat': 0.03334322010727778, 'lng': -51.06621442989272}}
ChIJaeoQLBThYY0RPKV1BsXsn0E;Macapá/AP;Hospital de Clínicas Doutor Alberto Lima;Av. Fab, 70 - CENTRO, Macapá;False;OPERATIONAL;0.0401195;-51.0586932;"[""Não disponível""]";{'northeast': {'lat': 0.04151782989272221, 'lng': -51.05729042010729}, 'southwest': {'lat': 0.03881817010727778, 'lng': -51.05999007989273}}
