id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;viewport
ChIJWWxLj7LhYY0RQTSOREv4FGw;Macapá/AP;Hotel Orla;06 A, Av. Pedro Lazarino - Santa Ines, Macapá;True;OPERATIONAL;0.0211784;-51.05633419999999;"[""Monday: Aberto 24 horas"", ""Tuesday: Aberto 24 horas"", ""Wednesday: Aberto 24 horas"", ""Thursday: Aberto 24 horas"", ""Friday: Aberto 24 horas"", ""Saturday: Aberto 24 horas"", ""Sunday: Aberto 24 horas""]";{'northeast': {'lat': 0.02251187989272222, 'lng': -51.05504667010727}, 'southwest': {'lat': 0.01981222010727779, 'lng': -51.05774632989272}}
ChIJzYfHEvvhYY0RKoj_ytbscvc;Macapá/AP;A2 Pousada;R. Hamilton Silva, 3117 - Beirol, Macapá;False;OPERATIONAL;0.0202314;-51.0650882;"[""Não disponível""]";{'northeast': {'lat': 0.02134397989272222, 'lng': -51.06378452010728}, 'southwest': {'lat': 0.01864432010727779, 'lng': -51.06648417989272}}
ChIJbzbHasXgYY0R7OMv-9ppDOc;Macapá/AP;Hotel do Forte;R. Beira Rio, 248 - Santa Ines, Macapá;True;OPERATIONAL;0.027295;-51.05277590000001;"[""Monday: Aberto 24 horas"", ""Tuesday: Aberto 24 horas"", ""Wednesday: Aberto 24 horas"", ""Thursday: Aberto 24 horas"", ""Friday: Aberto 24 horas"", ""Saturday: Aberto 24 horas"", ""Sunday: Aberto 24 horas""]";{'northeast': {'lat': 0.02882352989272222, 'lng': -51.05138767010728}, 'southwest': {'lat': 0.02612387010727778, 'lng': -51.05408732989272}}
ChIJrceNPcXgYY0Rbkmzu7Kmv50;Macapá/AP;Amazon Plaza Hotel;R. Beira Rio, 208 - Santa Ines, Macapá;True;OPERATIONAL;0.0278801;-51.05209199999999;"[""Monday: Aberto 24 horas"", ""Tuesday: Aberto 24 horas"", ""Wednesday: Aberto 24 horas"", ""Thursday: Aberto 24 horas"", ""Friday: Aberto 24 horas"", ""Saturday: Aberto 24 horas"", ""Sunday: Aberto 24 horas""]";{'northeast': {'lat': 0.02920947989272222, 'lng': -51.05072382010728}, 'southwest': {'lat': 0.02650982010727778, 'lng': -51.05342347989272}}
ChIJf9dq8wfhYY0RKSLsXup3b8I;Macapá/AP;Forte Express;Av. Felíciano Coelho, 160 - Trem, Macapá;False;OPERATIONAL;0.0288061;-51.0551427;"[""Não disponível""]";{'northeast': {'lat': 0.03013837989272221, 'lng': -51.05379447010728}, 'southwest': {'lat': 0.02743872010727778, 'lng': -51.05649412989273}}
ChIJQ3csmv_gYY0RlRmeybohvlk;Macapá/AP;Mafra Hotel;R. Rio Maracá, 4 - Central, Macapá;False;OPERATIONAL;0.0298213;-51.0519369;"[""Não disponível""]";{'northeast': {'lat': 0.03124622989272221, 'lng': -51.05058067010728}, 'southwest': {'lat': 0.02854657010727779, 'lng': -51.05328032989272}}
ChIJF5aoGy7hYY0RfmWRaJvagxg;Macapá/AP;Hotel Central;Av. Rio Maraca, 48 - Central, Macapá;True;OPERATIONAL;0.0301373;-51.052812;"[""Monday: Aberto 24 horas"", ""Tuesday: Aberto 24 horas"", ""Wednesday: Aberto 24 horas"", ""Thursday: Aberto 24 horas"", ""Friday: Aberto 24 horas"", ""Saturday: Aberto 24 horas"", ""Sunday: Aberto 24 horas""]";{'northeast': {'lat': 0.03143362989272221, 'lng': -51.05146537010728}, 'southwest': {'lat': 0.02873397010727778, 'lng': -51.05416502989272}}
ChIJvbnLF9ngYY0RE_LkHWVkaCI;Macapá/AP;Mara Hotel;R. São José, 2390 - Centro, Macapá;True;OPERATIONAL;0.03162;-51.0523398;"[""Monday: Aberto 24 horas"", ""Tuesday: Aberto 24 horas"", ""Wednesday: Aberto 24 horas"", ""Thursday: Aberto 24 horas"", ""Friday: Aberto 24 horas"", ""Saturday: Aberto 24 horas"", ""Sunday: Aberto 24 horas""]";{'northeast': {'lat': 0.03297042989272222, 'lng': -51.05099202010728}, 'southwest': {'lat': 0.03027077010727779, 'lng': -51.05369167989272}}
ChIJcQAAIALhYY0RrHcfn9vliCc;Macapá/AP;HOTEL AMÉRICA;AVENIDA: COARACY NUNES, 333 - CENTRO, Macapá;True;OPERATIONAL;0.0322994;-51.0539824;"[""Monday: Aberto 24 horas"", ""Tuesday: Aberto 24 horas"", ""Wednesday: Aberto 24 horas"", ""Thursday: Aberto 24 horas"", ""Friday: Aberto 24 horas"", ""Saturday: 00:00 – 23:59"", ""Sunday: Aberto 24 horas""]";{'northeast': {'lat': 0.03372047989272221, 'lng': -51.05262797010727}, 'southwest': {'lat': 0.03102082010727778, 'lng': -51.05532762989272}}
ChIJRVwdNuDgYY0Ru0atvcj-Lhk;Macapá/AP;Frota Palace Hotel;R. Tiradentes, 1104 - Centro, Macapá;True;OPERATIONAL;0.0327404;-51.0536188;"[""Monday: Aberto 24 horas"", ""Tuesday: Aberto 24 horas"", ""Wednesday: Aberto 24 horas"", ""Thursday: Aberto 24 horas"", ""Friday: Aberto 24 horas"", ""Saturday: Aberto 24 horas"", ""Sunday: Aberto 24 horas""]";{'northeast': {'lat': 0.03408392989272221, 'lng': -51.05216502010727}, 'southwest': {'lat': 0.03138427010727779, 'lng': -51.05486467989272}}
