id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;viewport
ChIJTacuTYCPpJIRc4dzpeMtB4k;Belém/PA;Faciola Mansion - Museum of Image and Sound;Av. Nª Sra. de Nazaré, 138 - Nazaré, Belém;False;OPERATIONAL;-1.4537684;-48.4913345;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM'];{'northeast': {'lat': -1.452342070107278, 'lng': -48.49000442010728}, 'southwest': {'lat': -1.455041729892722, 'lng': -48.49270407989272}}
ChIJMaye14WOpJIRDVg_JWEaMTg;Belém/PA;Museum of Image and Sound;Av. Nª Sra. de Nazaré, 194 - Nazaré, Belém;False;OPERATIONAL;-1.453787;-48.4914633;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM'];{'northeast': {'lat': -1.452367520107278, 'lng': -48.49013142010728}, 'southwest': {'lat': -1.455067179892722, 'lng': -48.49283107989272}}
ChIJbwuHLpCOpJIRw9g0pBu-Jrg;Belém/PA;Palacete Bolonha;Av. Gov. José Malcher, 295 - Nazaré, Belém;False;OPERATIONAL;-1.452045;-48.4908829;['Monday: Closed', 'Tuesday: 9:30\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -1.450712270107278, 'lng': -48.48952897010728}, 'southwest': {'lat': -1.453411929892722, 'lng': -48.49222862989272}}
ChIJ-yqFaACPpJIRo6LcVHdfHOo;Belém/PA;State Judicial Museum;Av. Nª Sra. de Nazaré, 582 - Nazaré, Belém;False;OPERATIONAL;-1.4527315;-48.4876964;['Monday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -1.451345170107278, 'lng': -48.48635567010727}, 'southwest': {'lat': -1.454044829892722, 'lng': -48.48905532989272}}
ChIJq6qqqp2OpJIRqqxepR6N-MY;Belém/PA;Memorial do Círio;Nazaré, Belém;False;OPERATIONAL;-1.4533893;-48.4819086;['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -1.452037270107278, 'lng': -48.48051402010728}, 'southwest': {'lat': -1.454736929892722, 'lng': -48.48321367989272}}
ChIJLz-8UiGMpJIROBVsOonEFa0;Belém/PA;Museum of the Federal University of Pará;Av. Gov. José Malcher, 1192 - Nazaré, Belém;False;OPERATIONAL;-1.4502025;-48.48306480000001;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:00\u202fPM'];{'northeast': {'lat': -1.448774570107278, 'lng': -48.48173677010728}, 'southwest': {'lat': -1.451474229892722, 'lng': -48.48443642989272}}
ChIJubQA0WaOpJIRyJpEJ6v4qOc;Belém/PA;São José Liberto - Cultural Center and Gems Museum;Praça Amazonas, s/n - Jurunas, Belém;False;OPERATIONAL;-1.4636245;-48.49572;['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:00\u202fPM'];{'northeast': {'lat': -1.462169520107278, 'lng': -48.49433617010728}, 'southwest': {'lat': -1.464869179892722, 'lng': -48.49703582989272}}
ChIJXSyk5LthpJIRiO6MXzKkzYY;Belém/PA;Pará Military Police Museum;R. Gaspar Viana, 746 - Reduto, Belém;False;OPERATIONAL;-1.4472435;-48.4957742;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -1.445851570107278, 'lng': -48.49445407010727}, 'southwest': {'lat': -1.448551229892722, 'lng': -48.49715372989272}}
ChIJ5Rmr_HWPpJIRgm_Bv1noRco;Belém/PA;National Museum of the Assembly of God;Av. Gov Magalhães Barata, 53 - Nazaré, Belém;False;OPERATIONAL;-1.4519793;-48.4802255;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20093:00\u202fPM'];{'northeast': {'lat': -1.450680820107278, 'lng': -48.47888637010727}, 'southwest': {'lat': -1.453380479892722, 'lng': -48.48158602989272}}
ChIJJ5v9QmqPpJIRT0blqf6gS5c;Belém/PA;Museum of Art of Belém;Praça Dom Pedro II, 2 - Cidade Velha, Belém;False;OPERATIONAL;-1.4559882;-48.5021688;['Monday: Closed', 'Tuesday: 8:40\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 8:40\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 8:40\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 8:40\u202fAM\u2009–\u20092:30\u202fPM', 'Saturday: Closed', 'Sunday: 9:00\u202fAM\u2009–\u20091:00\u202fPM'];{'northeast': {'lat': -1.454601470107278, 'lng': -48.50084362010727}, 'southwest': {'lat': -1.457301129892722, 'lng': -48.50354327989271}}
