id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJKU9VJ6p5GZURHD6eEe08_5k;Porto Alegre/RS;UFRGS Museum;Av. Osvaldo Aranha, 277 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.0328832;-51.2195328;['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03147247010727, 'lng': -51.21825842010728}, 'southwest': {'lat': -30.03417212989272, 'lng': -51.22095807989272}}
ChIJaVHspK15GZURBnU3nGd62QE;Porto Alegre/RS;Museu Israelita;Rua General João Telles, 329 - Bom Fim, Porto Alegre;Indisponível;OPERATIONAL;-30.0324249;-51.21264590000001;Não disponível;{'northeast': {'lat': -30.03108602010728, 'lng': -51.21121652010728}, 'southwest': {'lat': -30.03378567989272, 'lng': -51.21391617989272}}
ChIJvw0OFah5GZURjXisdb3n13Q;Porto Alegre/RS;Museu de História da Medicina do Rio Grande do Sul;Av. Independência, 270 - Independência, Porto Alegre;True;OPERATIONAL;-30.02926709999999;-51.2188255;['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.02802272010728, 'lng': -51.21746847010728}, 'southwest': {'lat': -30.03072237989272, 'lng': -51.22016812989273}}
ChIJ0VK_GKh5GZURReync9TIh1Y;Porto Alegre/RS;Cultural-Historical Center Santa Casa;Av. Independência, 75 - Independência, Porto Alegre;True;OPERATIONAL;-30.029672;-51.2212672;['Monday: 8:00\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -30.02834707010727, 'lng': -51.21991562010727}, 'southwest': {'lat': -30.03104672989272, 'lng': -51.22261527989271}}
ChIJIaPv-v54GZURDfA2fc9Gu-A;Porto Alegre/RS;Museu de Porto Alegre Joaquim Felizardo;R. João Alfredo, 582 - Cidade Baixa, Porto Alegre;True;OPERATIONAL;-30.0420388;-51.22456709999999;['Monday: 1:30\u2009–\u20095:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.04069847010727, 'lng': -51.22338747010728}, 'southwest': {'lat': -30.04339812989272, 'lng': -51.22608712989272}}
ChIJ-26TcwV5GZUR9OI18TBk5E0;Porto Alegre/RS;Memorial do Ministério Público;Praça Mal. Deodoro, 110 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.03260329999999;-51.2295036;['Monday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03124937010728, 'lng': -51.22821922010728}, 'southwest': {'lat': -30.03394902989272, 'lng': -51.23091887989272}}
ChIJg1ijCXV5GZURw1D1KgZKNEE;Porto Alegre/RS;Museu da Eletricidade do Rio Grande do Sul;R. dos Andradas, 1223 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.0300738;-51.229448;['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -30.02883672010728, 'lng': -51.22837252010728}, 'southwest': {'lat': -30.03153637989272, 'lng': -51.23107217989272}}
ChIJGQ2HpA95GZURsYq6kMs3dhA;Porto Alegre/RS;Espaço Força e Luz;R. dos Andradas, 1223 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.0300163;-51.22944769999999;['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -30.02883662010727, 'lng': -51.22837237010727}, 'southwest': {'lat': -30.03153627989272, 'lng': -51.23107202989272}}
ChIJWWKiK3p5GZUR64gXtWxoXYE;Porto Alegre/RS;Museu de Arte de Porto Alegre;Praça Montevideo, 10 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.0281499;-51.2286438;['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.02688517010727, 'lng': -51.22737952010728}, 'southwest': {'lat': -30.02958482989272, 'lng': -51.23007917989273}}
ChIJ6aTktBp5GZURqyqHwzx60Lo;Porto Alegre/RS;Pinacoteca Ruben Berta;R. Duque de Caxias, 973 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.0334447;-51.2318425;['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 1:30\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03203142010728, 'lng': -51.23048247010728}, 'southwest': {'lat': -30.03473107989272, 'lng': -51.23318212989272}}
