id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJZwQEElU4J5URkeHpCYZMtKM;Florianópolis/SC;Palácio China;R. Lauro Linhares, 2123 - Trindade, Florianópolis;True;OPERATIONAL;-27.5969266;-48.5202903;['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59559482010728, 'lng': -48.51905332010728}, 'southwest': {'lat': -27.59829447989272, 'lng': -48.52175297989272}}
ChIJZwQEElU4J5URkX0UcV-21AQ;Florianópolis/SC;Restaurante Sao Bento;Shopping - R. Lauro Linhares, 2123 - Trindade, Florianópolis;True;OPERATIONAL;-27.5969266;-48.5202903;['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59559482010728, 'lng': -48.51905332010728}, 'southwest': {'lat': -27.59829447989272, 'lng': -48.52175297989272}}
ChIJV-QTClU4J5URbUDTHCoBpY4;Florianópolis/SC;Novo Oriente;R. Lauro Linhares, 2123 - Loja 59 - Trindade, Florianópolis;True;OPERATIONAL;-27.5968446;-48.5202158;['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59552792010728, 'lng': -48.51902287010727}, 'southwest': {'lat': -27.59822757989272, 'lng': -48.52172252989272}}
ChIJAeFe-H45J5UR9wcMPmRsULE;Florianópolis/SC;Restaurante Ancore;R. Lauro Linhares, 2123 - Loja 52 53 e 54 - Trindade, Florianópolis;False;OPERATIONAL;-27.5968357;-48.5202143;['Monday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59551942010728, 'lng': -48.51902322010728}, 'southwest': {'lat': -27.59821907989272, 'lng': -48.52172287989272}}
ChIJfzkzp1U4J5URgitgZdwg9mE;Florianópolis/SC;Restaurante Rocco;Praça de Alimentação do Shopping, R. Lauro Linhares, 2123 - Trindade, Florianópolis;True;OPERATIONAL;-27.5968057;-48.5202904;['Monday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59548262010728, 'lng': -48.51906712010728}, 'southwest': {'lat': -27.59818227989272, 'lng': -48.52176677989272}}
ChIJG4Chp1U4J5UR_UF5JUuJ0aA;Florianópolis/SC;Berinjela Gourmet Sandwich;R. Lauro Linhares, 2055 - Trindade, Florianópolis;True;OPERATIONAL;-27.5964478;-48.5204746;['Monday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59511977010728, 'lng': -48.51921187010728}, 'southwest': {'lat': -27.59781942989272, 'lng': -48.52191152989272}}
ChIJA8iLCVU4J5URPmA_AMRWfWo;Florianópolis/SC;La Bohème Restaurante;R. Lauro Linhares, 1903 - Trindade, Florianópolis;False;OPERATIONAL;-27.5956404;-48.52060770000001;['Monday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59428332010728, 'lng': -48.51925877010728}, 'southwest': {'lat': -27.59698297989272, 'lng': -48.52195842989273}}
ChIJjcU1M845J5URxK5ml7edd5c;Florianópolis/SC;Doka Esfiharia - Trindade/Florianópolis;R. Francisco Goularte, 42 - Trindade, Florianópolis;False;OPERATIONAL;-27.5950444;-48.5214193;['Monday: Closed', 'Tuesday: 6:00\u2009–\u200911:00\u202fPM', 'Wednesday: 6:00\u2009–\u200911:00\u202fPM', 'Thursday: 6:00\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u2009–\u200911:00\u202fPM', 'Saturday: 6:00\u2009–\u200911:00\u202fPM', 'Sunday: 6:00\u2009–\u200911:00\u202fPM'];{'northeast': {'lat': -27.59378427010728, 'lng': -48.52006857010728}, 'southwest': {'lat': -27.59648392989273, 'lng': -48.52276822989272}}
ChIJx3i8ClQ4J5URBjh9DDE9tGE;Florianópolis/SC;Lavinia Gastronomia;R. Des. Vítor Lima, 380 - Trindade, Florianópolis;Indisponível;OPERATIONAL;-27.5967605;-48.5236743;Não disponível;{'northeast': {'lat': -27.59543117010728, 'lng': -48.52230997010727}, 'southwest': {'lat': -27.59813082989272, 'lng': -48.52500962989271}}
ChIJgdRDhFM4J5URCnsdp9WypD0;Florianópolis/SC;Restaurante do Chico em Trindade;R. Des. Vítor Lima, 484 - Trindade, Florianópolis;False;OPERATIONAL;-27.5977256;-48.5243451;['Monday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:30\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59640672010728, 'lng': -48.52294062010728}, 'southwest': {'lat': -27.59910637989272, 'lng': -48.52564027989273}}
ChIJcWoPm1M4J5URzmeQSsCH3Wo;Florianópolis/SC;Moochacho (Trindade);R. Des. Vítor Lima, 498 - Trindade, Florianópolis;True;OPERATIONAL;-27.5978669;-48.52448099999999;['Monday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 6:00\u2009–\u200911:00\u202fPM'];{'northeast': {'lat': -27.59663337010727, 'lng': -48.52314257010728}, 'southwest': {'lat': -27.59933302989272, 'lng': -48.52584222989272}}
ChIJC1Te9Fg5J5URFYhCQADxh-g;Florianópolis/SC;CORA MELO | cafe;R. Santa Luzia, 100 - loja 01 - Trindade, Florianópolis;True;OPERATIONAL;-27.5932141;-48.5193782;['Monday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59184197010728, 'lng': -48.51791782010729}, 'southwest': {'lat': -27.59454162989272, 'lng': -48.52061747989273}}
ChIJcdJyY7k5J5URywwfTNHUX4E;Florianópolis/SC;D'nantes Restaurante;Servidão Costa, 53 - Trindade, Florianópolis;False;OPERATIONAL;-27.5933848;-48.5218121;['Monday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59197162010728, 'lng': -48.52043517010728}, 'southwest': {'lat': -27.59467127989273, 'lng': -48.52313482989273}}
ChIJRfCOtqs5J5UR-4jTxDnoNWQ;Florianópolis/SC;Restaurante Universitário UFSC;Campus Universitário Reitor João David Ferreira Lima - Trindade, Florianópolis;False;OPERATIONAL;-27.602992;-48.5216071;['Monday: 11:00\u202fAM\u2009–\u20091:30\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20091:30\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20091:30\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20091:30\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20091:30\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM'];{'northeast': {'lat': -27.60145442010728, 'lng': -48.52027182010728}, 'southwest': {'lat': -27.60415407989272, 'lng': -48.52297147989272}}
