id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJIVdtilY4J5URPDQY_5y21Xw;Florianópolis/SC;Panvel Farmácias;R. Lauro Linhares, 1693 - Trindade, Florianópolis;True;OPERATIONAL;-27.5938616;-48.5211982;['Monday: 7:30\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20099:30\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59249977010728, 'lng': -48.51990352010728}, 'southwest': {'lat': -27.59519942989272, 'lng': -48.52260317989273}}
ChIJ03dfXfk4J5URpOK_qrYjhwc;Florianópolis/SC;Carrefour Hypermarket;Av. Me. Benvenuta, 687 - loja 11 - Santa Monica, Florianópolis;True;OPERATIONAL;-27.590295;-48.5150708;['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM'];{'northeast': {'lat': -27.58904462010727, 'lng': -48.51383247010727}, 'southwest': {'lat': -27.59174427989272, 'lng': -48.51653212989272}}
ChIJTw7tn_k4J5UR06ZokL83Vvs;Florianópolis/SC;D'VIE Joalheria Floripa;Av. Me. Benvenuta - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5899563;-48.5149231;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM'];{'northeast': {'lat': -27.58887502010728, 'lng': -48.51384352010727}, 'southwest': {'lat': -27.59157467989272, 'lng': -48.51654317989271}}
ChIJjaswZm84J5URwUNdtNDiZNI;Florianópolis/SC;Carioni Retail Fuels;R. Delminda Silveira, 787 - Trindade, Florianópolis;Indisponível;OPERATIONAL;-27.5768661;-48.52793339999999;Não disponível;{'northeast': {'lat': -27.57559917010728, 'lng': -48.52652462010727}, 'southwest': {'lat': -27.57829882989272, 'lng': -48.52922427989272}}
ChIJg19aobI5J5UR35YMaLSnbRQ;Florianópolis/SC;Brandness;R. Patrício Farias - Itacorubi, Florianópolis;Indisponível;OPERATIONAL;-27.5749494;-48.5101161;Não disponível;{'northeast': {'lat': -27.57359287010727, 'lng': -48.50873167010727}, 'southwest': {'lat': -27.57629252989272, 'lng': -48.51143132989272}}
ChIJpc5TV-w5J5UR87O61yZO_b0;Florianópolis/SC;Div Retail Tech;R. Pastor William Richard Schisler Filho, 655 - Itacorubi, Florianópolis;Indisponível;OPERATIONAL;-27.5751443;-48.509508;Não disponível;{'northeast': {'lat': -27.57389647010728, 'lng': -48.50815922010727}, 'southwest': {'lat': -27.57659612989272, 'lng': -48.51085887989272}}
ChIJmzcpuRY4J5URdOrx6b5JLv0;Florianópolis/SC;John John - Loja Shopping Beira Mar;Beiramar Shopping Center - R. Bocaiúva, 2468 - Piso L2, 247 - Centro, Florianópolis;True;OPERATIONAL;-27.5845935;-48.544552;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 2:00\u2009–\u20098:00\u202fPM'];{'northeast': {'lat': -27.58324527010728, 'lng': -48.54320447010728}, 'southwest': {'lat': -27.58594492989272, 'lng': -48.54590412989273}}
ChIJAxMtuRY4J5URsXRWzJtSUY4;Florianópolis/SC;Beiramar Shopping;R. Bocaiúva, 2468 - Centro, Florianópolis;True;OPERATIONAL;-27.5848902;-48.5450349;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 2:00\u2009–\u200910:00\u202fPM'];{'northeast': {'lat': -27.58368595, 'lng': -48.54357077010728}, 'southwest': {'lat': -27.58639014999999, 'lng': -48.54627042989272}}
ChIJF9_c4yM4J5UR7lhWjCiz0_0;Florianópolis/SC;Believe Outlet;R. Álvaro de Carvalho, 155 - Centro, Florianópolis;True;OPERATIONAL;-27.5959038;-48.5535356;['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59457927010728, 'lng': -48.55214232010728}, 'southwest': {'lat': -27.59727892989272, 'lng': -48.55484197989272}}
ChIJX5Q2KLg-J5URz8yCvYA-t5Q;Florianópolis/SC;Disruptiva Retail Intelligence;R. Manoel Isidoro da Silveira, 159 - Lagoa da Conceição, Florianópolis;True;OPERATIONAL;-27.6007875;-48.4691695;['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59949712010728, 'lng': -48.46792377010728}, 'southwest': {'lat': -27.60219677989272, 'lng': -48.47062342989273}}
