id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJgztOUKx5GZUR0a1E0OGBBNE;Porto Alegre/RS;Escola Estadual de Ensino Médio Anne Frank;Av. Cauduro, 238 - Bom Fim, Porto Alegre;True;OPERATIONAL;-30.0320536;-51.2132944;['Monday: 8:00\u202fAM\u2009–\u200912:15\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:15\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:15\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200912:15\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200912:15\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03070412010728, 'lng': -51.21194647010728}, 'southwest': {'lat': -30.03340377989272, 'lng': -51.21464612989272}}
ChIJeVx8WQB5GZURZM40Y8XdziI;Porto Alegre/RS;Esc Est Ens Fund Rio de Janeiro;R. Gen. Lima e Silva, 400 - Cidade Baixa, Porto Alegre;True;OPERATIONAL;-30.0367122;-51.22277889999999;['Monday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03550977010728, 'lng': -51.22158847010728}, 'southwest': {'lat': -30.03820942989273, 'lng': -51.22428812989273}}
ChIJjSLcAKl5GZURDm_R5ACTLbo;Porto Alegre/RS;Colégio Marista Rosário;Praça Dom Sebastião, 2 - Independência, Porto Alegre;True;OPERATIONAL;-30.0296516;-51.2184647;['Monday: 7:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.02859837010728, 'lng': -51.21719042010728}, 'southwest': {'lat': -30.03129802989272, 'lng': -51.21989007989272}}
ChIJdRPLOKZ5GZURIztJYeZyO2k;Porto Alegre/RS;New Hope School;Av. Independência, 536 - sala 2 - Centro Histórico, Novo Machado;False;OPERATIONAL;-30.0291181;-51.2159783;['Monday: 7:45\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20095:30\u202fPM', 'Tuesday: Closed', 'Wednesday: 7:45\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20095:30\u202fPM', 'Thursday: 7:45\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20095:30\u202fPM', 'Friday: 7:45\u2009–\u200911:30\u202fAM, 1:30\u2009–\u20095:30\u202fPM', 'Saturday: 7:45\u2009–\u200911:30\u202fAM', 'Sunday: Closed'];{'northeast': {'lat': -30.02787817010728, 'lng': -51.21462252010727}, 'southwest': {'lat': -30.03057782989272, 'lng': -51.21732217989272}}
ChIJYe3p7zF5GZUREvuItW2hBVs;Porto Alegre/RS;Kumon Venancio Aires/Porto Alegre;Av. Venâncio Aires, 502 - Santana, Porto Alegre;True;OPERATIONAL;-30.0404028;-51.2154087;['Monday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03910772010727, 'lng': -51.21401472010728}, 'southwest': {'lat': -30.04180737989272, 'lng': -51.21671437989273}}
ChIJa8aCDlR4GZUR3Y7NobK55Ww;Porto Alegre/RS;NEEJACP - Núcleo Estadual de Ensino de Jovens e Adultos e de Cultura Popular Darcy Vargas;Av. João Pessoa, 1070 - Farroupilha, Porto Alegre;True;OPERATIONAL;-30.0406898;-51.2164187;['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03938052010728, 'lng': -51.21513972010727}, 'southwest': {'lat': -30.04208017989272, 'lng': -51.21783937989272}}
ChIJ159BKAR5GZURqaZFKX2A7Uw;Porto Alegre/RS;Colégio Bom Jesus Sévigné;R. Duque de Caxias, 1475 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.033607;-51.2264652;['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03221412010727, 'lng': -51.22513652010727}, 'southwest': {'lat': -30.03491377989272, 'lng': -51.22783617989271}}
ChIJdcaVeZh5GZUR4-Xa6LEyjuE;Porto Alegre/RS;School of Rock;R. Benjamin Flôres, 57 - Independência, Porto Alegre;True;OPERATIONAL;-30.0282269;-51.2125531;['Monday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -30.02687132010727, 'lng': -51.21115552010728}, 'southwest': {'lat': -30.02957097989271, 'lng': -51.21385517989273}}
ChIJFYvdPwh5GZURiFIjY05U73Q;Porto Alegre/RS;Unitec Technical School | Nursing, Radiology - Porto Alegre;Av. Alberto Bins, 410 - 5ºandar - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.027915;-51.22253;['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -30.02667227010728, 'lng': -51.22117662010727}, 'southwest': {'lat': -30.02937192989272, 'lng': -51.22387627989271}}
ChIJL3xIOaZ5GZURn9MJoBkZs_E;Porto Alegre/RS;Escola de Ensino Médio Senac Distrito Criativo;Avenida Cristóvão Colombo 545, prédio 1 3º andar - Floresta, Porto Alegre;True;OPERATIONAL;-30.026321;-51.2120977;['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -30.02497707010728, 'lng': -51.21074487010728}, 'southwest': {'lat': -30.02767672989273, 'lng': -51.21344452989273}}
