id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJHeOyXec5J5URR3Dplud2vwk;Florianópolis/SC;Awesome Presentes;R. Lauro Linhares, 2123 - Trindade, Florianópolis;True;OPERATIONAL;-27.5968446;-48.5202158;['Monday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20093:30\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59552792010728, 'lng': -48.51902287010727}, 'southwest': {'lat': -27.59822757989272, 'lng': -48.52172252989272}}
ChIJTQ4TjT85J5URj4dKCRDLucc;Florianópolis/SC;Dona Banoffee Trindade Shopping;R. Lauro Linhares, 2123 - Trindade, Florianópolis;True;OPERATIONAL;-27.5968357;-48.5202143;['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59551942010728, 'lng': -48.51902322010728}, 'southwest': {'lat': -27.59821907989272, 'lng': -48.52172287989272}}
ChIJdeMDElU4J5URZ44gYC1y0MU;Florianópolis/SC;Floripa Sex Store - Sex Shop Trindade;Shopping Trindade, R. Lauro Linhares, 2123 - Sala 46 SL - Trindade, Florianópolis;True;OPERATIONAL;-27.5967896;-48.5202691;['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59546907010728, 'lng': -48.51905797010728}, 'southwest': {'lat': -27.59816872989272, 'lng': -48.52175762989272}}
ChIJs_57p1U4J5URiB82a7VnmZY;Florianópolis/SC;Trindade Shopping;R. Lauro Linhares, 2123 - Trindade, Florianópolis;True;OPERATIONAL;-27.5968381;-48.5204168;['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59550152010728, 'lng': -48.51912962010728}, 'southwest': {'lat': -27.59820117989272, 'lng': -48.52182927989272}}
ChIJDbC-pVU4J5URBFpQbzYPbOs;Florianópolis/SC;Shopping Max&Flora Center;R. Lauro Linhares, 2055 - Trindade, Florianópolis;True;OPERATIONAL;-27.5962282;-48.5202794;['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59506332010728, 'lng': -48.51913947010728}, 'southwest': {'lat': -27.59776297989272, 'lng': -48.52183912989272}}
ChIJE-2H1Nc5J5URzQgeR6daUvw;Florianópolis/SC;Nostro Fumo Express;R. Lauro Linhares, 1791 - Trindade, Florianópolis;True;OPERATIONAL;-27.594597;-48.52093360000001;['Monday: 10:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 12:00\u2009–\u20098:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59327267010728, 'lng': -48.51969662010728}, 'southwest': {'lat': -27.59597232989272, 'lng': -48.52239627989272}}
ChIJ8cbO39Q5J5URZQsDlB5GM7k;Florianópolis/SC;Golden Headshop;R. Dep. Antônio Edu Vieira, 1760 - Pantanal, Florianópolis;False;OPERATIONAL;-27.6017078;-48.5169709;['Monday: 3:00\u2009–\u200911:00\u202fPM', 'Tuesday: 3:00\u2009–\u200911:00\u202fPM', 'Wednesday: 3:00\u2009–\u200911:00\u202fPM', 'Thursday: 3:30\u2009–\u200911:30\u202fPM', 'Friday: 3:30\u2009–\u200911:30\u202fPM', 'Saturday: 3:30\u2009–\u200911:30\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.60032072010728, 'lng': -48.51573477010728}, 'southwest': {'lat': -27.60302037989273, 'lng': -48.51843442989272}}
ChIJwa2pMhw5J5URhllnw6Lxo08;Florianópolis/SC;Garagem Ateliê BIKE SHOP;R. João Pio Duarte Silva, 289 - Sala 102 - Córrego Grande, Florianópolis;True;OPERATIONAL;-27.6005296;-48.5137022;['Monday: 1:00\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59927462010728, 'lng': -48.51236362010728}, 'southwest': {'lat': -27.60197427989272, 'lng': -48.51506327989272}}
ChIJ-3AbRfk4J5UR7iJZqLs_-Dc;Florianópolis/SC;Portobello Shop Florianópolis;Av. Me. Benvenuta, 690 - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5919255;-48.5144167;['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59044082010728, 'lng': -48.51322622010727}, 'southwest': {'lat': -27.59314047989272, 'lng': -48.51592587989271}}
ChIJnSRIiic5J5URjZDE8d9swp4;Florianópolis/SC;Lugano Florianópolis - Villa Romana Shopping;Av. Me. Benvenuta, 687 - L3 - Loja 423 - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5905221;-48.5148694;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 12:00\u2009–\u20098:00\u202fPM'];{'northeast': {'lat': -27.58922347010728, 'lng': -48.51367982010728}, 'southwest': {'lat': -27.59192312989272, 'lng': -48.51637947989272}}
