id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJs_57p1U4J5URiB82a7VnmZY;Florianópolis/SC;Trindade Shopping;R. Lauro Linhares, 2123 - Trindade, Florianópolis;True;OPERATIONAL;-27.5968381;-48.5204168;['Monday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59550152010728, 'lng': -48.51912962010728}, 'southwest': {'lat': -27.59820117989272, 'lng': -48.52182927989272}}
ChIJDbC-pVU4J5URBFpQbzYPbOs;Florianópolis/SC;Shopping Max&Flora Center;R. Lauro Linhares, 2055 - Trindade, Florianópolis;True;OPERATIONAL;-27.5962282;-48.5202794;['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -27.59506332010728, 'lng': -48.51913947010728}, 'southwest': {'lat': -27.59776297989272, 'lng': -48.52183912989272}}
ChIJ0Yz5QlQ4J5UR7o0rjzk_OLc;Florianópolis/SC;Madison Center;R. Des. Vítor Lima, 260 - Trindade, Florianópolis;True;OPERATIONAL;-27.5968483;-48.52242570000001;['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours'];{'northeast': {'lat': -27.59557107010728, 'lng': -48.52113377010728}, 'southwest': {'lat': -27.59827072989272, 'lng': -48.52383342989272}}
ChIJ9bJVovg5J5URAmIXklbR6Zs;Florianópolis/SC;Maison Trois;Av. Me. Benvenuta, 687 - Lj 428 D L3 - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5905221;-48.5148694;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM'];{'northeast': {'lat': -27.58922347010728, 'lng': -48.51367982010728}, 'southwest': {'lat': -27.59192312989272, 'lng': -48.51637947989272}}
ChIJs_c9pPk4J5UR0M7fPGus6X0;Florianópolis/SC;Villa Romana Shopping;Av. Me. Benvenuta, 687 - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5901143;-48.51503229999999;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM'];{'northeast': {'lat': -27.58929502010728, 'lng': -48.51342422010728}, 'southwest': {'lat': -27.59199467989272, 'lng': -48.51612387989272}}
ChIJAUpLuvk4J5URoMiz1CPEUUI;Florianópolis/SC;Tea Shop Villa Romana - Florianópolis;Av. Me. Benvenuta, 687 Piso L3 - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5897538;-48.5152812;['Monday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 4:00\u2009–\u200910:00\u202fPM'];{'northeast': {'lat': -27.58849522010728, 'lng': -48.51409837010728}, 'southwest': {'lat': -27.59119487989272, 'lng': -48.51679802989273}}
ChIJgUvxV4k5J5URGl0SVMTF344;Florianópolis/SC;American Cookies Villa Romana Shopping - Florianópolis;Av. Me. Benvenuta, 687 - lj. 368 - 2º andar - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5897538;-48.5152812;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u200910:00\u202fPM'];{'northeast': {'lat': -27.58849522010728, 'lng': -48.51409837010728}, 'southwest': {'lat': -27.59119487989272, 'lng': -48.51679802989273}}
ChIJQZdOCJ45J5URJ7Jz55ertWs;Florianópolis/SC;Daiso Japan - Villa Romana Shopping;Av. Me. Benvenuta, 687 - LOJA 418B PISO L3 - Santa Monica, Florianópolis;True;OPERATIONAL;-27.5893055;-48.5152914;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 2:00\u2009–\u20098:00\u202fPM'];{'northeast': {'lat': -27.58847687010727, 'lng': -48.51414677010727}, 'southwest': {'lat': -27.59117652989272, 'lng': -48.51684642989272}}
ChIJM5xk4zY5J5UR8dPoenke898;Florianópolis/SC;CORREGO GRANDE;R. Cap. Romualdo de Barros, 776 - Carvoeira, Florianópolis;Indisponível;OPERATIONAL;-27.6040227;-48.528536;Não disponível;{'northeast': {'lat': -27.60266432010728, 'lng': -48.52718017010729}, 'southwest': {'lat': -27.60536397989272, 'lng': -48.52987982989273}}
ChIJd4h8rgU5J5URZcA7PhZhyZc;Florianópolis/SC;Centro Comercial Trindade;R. José Dutra - Trindade, Florianópolis;Indisponível;OPERATIONAL;-27.5867058;-48.5249907;Não disponível;{'northeast': {'lat': -27.58532932010727, 'lng': -48.52367067010728}, 'southwest': {'lat': -27.58802897989272, 'lng': -48.52637032989272}}
