place_id	place_name	day	hour	movement
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	0	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	1	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	2	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	3	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	4	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	5	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	6	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	7	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	8	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	9	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	10	0.44
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	11	0.55
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	12	0.64
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	13	0.67
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	14	0.69
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	15	0.75
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	16	0.84
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	17	0.93
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	18	1.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	19	0.99
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	20	0.87
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	21	0.64
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	22	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Monday	23	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Tuesday	0	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Tuesday	1	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Tuesday	2	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Tuesday	3	0.0
ChIJOTjoHAXhYY0Rl1n2cYIbBwE	Macapá Shopping	Tuesday	4	0.0
