id;city_state;name;address;open_now;business_status;latitude;longitude;weekday_text;viewport
ChIJue50YYWOpJIR4OP41PFKh5s;Belém/PA;Casa de Artes Tiago de Pinho;Tv. Benjamin Constant, 1321 - Nazaré, Belém;False;OPERATIONAL;-1.4535345;-48.48850410000001;['Monday: 3:00\u2009–\u200910:00\u202fPM', 'Tuesday: 3:00\u2009–\u200910:00\u202fPM', 'Wednesday: 3:00\u2009–\u200910:00\u202fPM', 'Thursday: 3:00\u2009–\u200910:00\u202fPM', 'Friday: 3:00\u2009–\u200910:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed'];{'northeast': {'lat': -1.452200170107278, 'lng': -48.48721632010728}, 'southwest': {'lat': -1.454899829892722, 'lng': -48.48991597989272}}
ChIJG2gGV4WOpJIRkAMpp0PMEkg;Belém/PA;Atores em Cena - Arte e Produções;Av. Nª Sra. de Nazaré, 435 - Nazaré, Belém;False;OPERATIONAL;-1.4527382;-48.4887127;[];{'northeast': {'lat': -1.451440320107278, 'lng': -48.48734937010727}, 'southwest': {'lat': -1.454139979892722, 'lng': -48.49004902989272}}
ChIJq2vvfoaOpJIR4CGj6ceUZns;Belém/PA;Cine Líbero Luxardo;Av. Gentil Bitencourt, 650 - Nazaré, Belém;False;OPERATIONAL;-1.4559334;-48.4864809;[];{'northeast': {'lat': -1.454532470107278, 'lng': -48.48513857010728}, 'southwest': {'lat': -1.457232129892722, 'lng': -48.48783822989272}}
ChIJ16ye14WOpJIR5M7njqNvBZ8;Belém/PA;FCP - Fundação Cultural do Pará;Av. Gentil Bitencourt, 650 - Nazaré, Belém;True;OPERATIONAL;-1.456764;-48.486393;['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -1.455395320107278, 'lng': -48.48493732010728}, 'southwest': {'lat': -1.458094979892722, 'lng': -48.48763697989273}}
ChIJn2Va2I2OpJIRl31SgCTrkF0;Belém/PA;Cinema Olympia;R. Arcipreste Manoel Teodoro - Batista Campos, Belém;False;OPERATIONAL;-1.4537857;-48.4938502;[];{'northeast': {'lat': -1.452406270107278, 'lng': -48.49246332010728}, 'southwest': {'lat': -1.455105929892722, 'lng': -48.49516297989273}}
ChIJMaye14WOpJIRlVHRf7nPBBI;Belém/PA;Theater Margarida Schivasappa;Av. Gentil Bitencourt, 650 - Batista Campos, Belém;False;OPERATIONAL;-1.4568419;-48.4861233;[];{'northeast': {'lat': -1.455493070107278, 'lng': -48.48477877010728}, 'southwest': {'lat': -1.458192729892722, 'lng': -48.48747842989273}}
ChIJ5_rdp4mKpJIRtkDOdtVpC2k;Belém/PA;Theatro da Paz;Avenida da Paz, Praça da República, S/N - Campina, Belém;False;OPERATIONAL;-1.452909;-48.49371439999999;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fPM'];{'northeast': {'lat': -1.451649970107278, 'lng': -48.49245762010727}, 'southwest': {'lat': -1.454349629892722, 'lng': -48.49515727989272}}
ChIJTdBQmouOpJIRlBtaOcsUCaE;Belém/PA;Moviecom Pátio Belém;Tv. Padre Eutíquio, 1078 - Batista Campos, Belém;True;OPERATIONAL;-1.4579893;-48.4950292;['Monday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 1:00\u2009–\u20099:00\u202fPM'];{'northeast': {'lat': -1.456613120107278, 'lng': -48.49350182010727}, 'southwest': {'lat': -1.459312779892722, 'lng': -48.49620147989272}}
ChIJHfUfiI2OpJIRqvIbgqnVH-E;Belém/PA;Experimental Theatre Waldemar Henrique;Av. Pres. Vargas, 645 - Campina, Belém;False;OPERATIONAL;-1.4526417;-48.49493589999999;[];{'northeast': {'lat': -1.451329970107278, 'lng': -48.49362267010728}, 'southwest': {'lat': -1.454029629892722, 'lng': -48.49632232989272}}
ChIJwww1iXqLpJIRgTNg-J_rZWA;Belém/PA;AmazôniaFLIX;Tv. São Pedro, 566 - Sala 504 - Batista Campos, Belém;False;OPERATIONAL;-1.4587367;-48.4957874;[];{'northeast': {'lat': -1.457331070107278, 'lng': -48.49438577010728}, 'southwest': {'lat': -1.460030729892722, 'lng': -48.49708542989272}}
