id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJI7X9Oqp5GZURyRrm0BbiBSU;Porto Alegre/RS;Sala Redenção;R. Eng. Luiz Englert, 333 - Farroupilha, Porto Alegre;False;OPERATIONAL;-30.0337523;-51.21946939999999;['Monday: 9:00\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM, 7:00\u2009–\u20099:00\u202fPM', 'Wednesday: 4:00\u2009–\u20096:00\u202fPM, 7:00\u2009–\u20099:00\u202fPM', 'Thursday: 4:00\u2009–\u20096:00\u202fPM, 7:00\u2009–\u20099:00\u202fPM', 'Friday: 4:00\u2009–\u20096:00\u202fPM, 7:00\u2009–\u20099:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -30.03242382010727, 'lng': -51.21808707010727}, 'southwest': {'lat': -30.03512347989271, 'lng': -51.22078672989272}}
ChIJc5yDEK15GZURE5XZYvS9jNo;Porto Alegre/RS;Teatro Hebraica;Rua General João Telles, 508 - 1º andar - Bom Fim, Porto Alegre;Indisponível;OPERATIONAL;-30.0339851;-51.2125053;Não disponível;{'northeast': {'lat': -30.03261567010728, 'lng': -51.21129042010728}, 'southwest': {'lat': -30.03531532989273, 'lng': -51.21399007989272}}
ChIJb4ui4Kd5GZURA9-MSDRJHTA;Porto Alegre/RS;Theater SESC;Av. Alberto Bins, 665 - Centro Histórico, Porto Alegre;Indisponível;OPERATIONAL;-30.0280584;-51.2200279;Não disponível;{'northeast': {'lat': -30.02667567010728, 'lng': -51.21868117010727}, 'southwest': {'lat': -30.02937532989272, 'lng': -51.22138082989272}}
ChIJ1a9Asvx5GZURFhv7XHGoa3E;Porto Alegre/RS;Zona Cultural;Av. Alberto Bins, 900 - Centro Histórico, Porto Alegre;Indisponível;OPERATIONAL;-30.0276149;-51.2174935;Não disponível;{'northeast': {'lat': -30.02635212010728, 'lng': -51.21613597010727}, 'southwest': {'lat': -30.02905177989272, 'lng': -51.21883562989271}}
ChIJSQ81RlN5GZURHznhZfF-M3A;Porto Alegre/RS;Teatro de Câmara Túlio Piva;R. da República, 575 - Cidade Baixa, Porto Alegre;Indisponível;OPERATIONAL;-30.0395375;-51.2250763;Não disponível;{'northeast': {'lat': -30.03823077010728, 'lng': -51.22368477010728}, 'southwest': {'lat': -30.04093042989272, 'lng': -51.22638442989273}}
ChIJYbcoHg95GZURBpjoHAQVt2o;Porto Alegre/RS;Arena Theater;Av. Borges de Medeiros, 835 - Centro Histórico, Porto Alegre;Indisponível;OPERATIONAL;-30.0338765;-51.2280911;Não disponível;{'northeast': {'lat': -30.03253037010728, 'lng': -51.22668637010727}, 'southwest': {'lat': -30.03523002989272, 'lng': -51.22938602989272}}
ChIJT84miAN5GZURgWwarVP1FnI;Porto Alegre/RS;Cinemateca Capitólio;R. Demétrio Ribeiro, 1085 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.0362025;-51.2283438;['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 2:00\u2009–\u20099:00\u202fPM', 'Sunday: 2:00\u2009–\u20099:00\u202fPM'];{'northeast': {'lat': -30.03480107010728, 'lng': -51.22692487010728}, 'southwest': {'lat': -30.03750072989272, 'lng': -51.22962452989272}}
ChIJd0pkf695GZURMlrQxnywWd0;Porto Alegre/RS;Cineflix;Shopping Total, Av. Cristóvão Colombo, 545 - 2226 - Independência, Porto Alegre;True;OPERATIONAL;-30.0258333;-51.2113889;['Monday: 12:30\u2009–\u200910:30\u202fPM', 'Tuesday: 12:30\u2009–\u200910:30\u202fPM', 'Wednesday: 12:30\u2009–\u200910:30\u202fPM', 'Thursday: 12:30\u2009–\u200910:30\u202fPM', 'Friday: 12:30\u2009–\u200910:30\u202fPM', 'Saturday: 12:30\u2009–\u200910:30\u202fPM', 'Sunday: 12:30\u2009–\u200910:30\u202fPM'];{'northeast': {'lat': -30.02456352010728, 'lng': -51.21013007010728}, 'southwest': {'lat': -30.02726317989272, 'lng': -51.21282972989273}}
ChIJI_bTjAl5GZUR2EpmCmEklus;Porto Alegre/RS;Cine Atlas e Áurea + Locadora Atenas;Av. Júlio de Castilhos, 84 - Centro Histórico, Porto Alegre;True;OPERATIONAL;-30.0262885;-51.2259514;['Monday: 9:45\u202fAM\u2009–\u20099:30\u202fPM', 'Tuesday: 9:45\u202fAM\u2009–\u20099:30\u202fPM', 'Wednesday: 9:45\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 9:45\u202fAM\u2009–\u20099:30\u202fPM', 'Friday: 9:45\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM'];{'northeast': {'lat': -30.02498227010728, 'lng': -51.22456557010728}, 'southwest': {'lat': -30.02768192989272, 'lng': -51.22726522989272}}
ChIJI0fVjw95GZURF9Nkw2Nnd1k;Porto Alegre/RS;Cine Bancários;R. Gen. Câmara, 424 - Centro Histórico, Porto Alegre;False;OPERATIONAL;-30.0310949;-51.229917;['Monday: Closed', 'Tuesday: 2:30\u2009–\u20099:00\u202fPM', 'Wednesday: 2:30\u2009–\u20099:00\u202fPM', 'Thursday: 2:30\u2009–\u20099:00\u202fPM', 'Friday: 2:30\u2009–\u20099:00\u202fPM', 'Saturday: 2:30\u2009–\u20099:00\u202fPM', 'Sunday: 2:30\u2009–\u20099:00\u202fPM'];{'northeast': {'lat': -30.02974217010728, 'lng': -51.22863942010728}, 'southwest': {'lat': -30.03244182989272, 'lng': -51.23133907989273}}
