id;city_state;name;address;current_opening_hours;business_status;latitude;longitude;weekday_text;viewport
ChIJyyC-lSQ4J5URvQp42iuu1_U;Florianópolis/SC;Farmácia Escola UFSC;R. Delfino Conti, 100 - Trindade, Florianópolis;True;OPERATIONAL;-27.5982976;-48.519529;['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: Closed', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59702537010728, 'lng': -48.51827117010727}, 'southwest': {'lat': -27.59972502989272, 'lng': -48.52097082989272}}
ChIJRSP5FgA5J5URyyARXHN7vCM;Florianópolis/SC;Health Sciences Center;R. Delfino Conti, S/N - Trindade, Florianópolis;True;OPERATIONAL;-27.5989698;-48.5177106;['Monday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59772797010727, 'lng': -48.51648582010727}, 'southwest': {'lat': -27.60042762989272, 'lng': -48.51918547989271}}
ChIJp7yoBqs5J5URnQ9eOKG8BJk;Florianópolis/SC;UFSC;R. Eng. Agronômico Andrei Cristian Ferreira, s/n - Trindade, Florianópolis;Indisponível;OPERATIONAL;-27.5999578;-48.5194134;Não disponível;{'northeast': {'lat': -27.59104155, 'lng': -48.5086513}, 'southwest': {'lat': -27.60600055, 'lng': -48.53206449999999}}
ChIJAd3i-lQ4J5URvoOvkyBuDJQ;Florianópolis/SC;Casa Divina UFSC;R. Des. Vítor Lima, 117 - Trindade, Florianópolis;True;OPERATIONAL;-27.5978016;-48.52170049999999;['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59637257010728, 'lng': -48.52027612010728}, 'southwest': {'lat': -27.59907222989272, 'lng': -48.52297577989272}}
ChIJMY1-lvo5J5URNrRKdx5a1wE;Florianópolis/SC;Rede NAF UFSC;R. Roberto Sampaio Gonzaga - Trindade, Florianópolis;True;OPERATIONAL;-27.5987336;-48.5215787;['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59724022010728, 'lng': -48.52027557010727}, 'southwest': {'lat': -27.59993987989273, 'lng': -48.52297522989272}}
ChIJgwVMOwA5J5URVAoynW1cQdg;Florianópolis/SC;UFSC CCS - Bloco A;Av. Prof. Henrique da Silva Fontes, 321 - Trindade, Florianópolis;Indisponível;OPERATIONAL;-27.5990918;-48.5173688;Não disponível;{'northeast': {'lat': -27.59760797010728, 'lng': -48.51611962010728}, 'southwest': {'lat': -27.60030762989272, 'lng': -48.51881927989272}}
ChIJrU2u8FQ4J5URLXzCAm0svLk;Florianópolis/SC;Senior Adult Studies Center;R. Des. Vítor Lima, 145 - Trindade, Florianópolis;True;OPERATIONAL;-27.5977021;-48.5218812;['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fPM, 1:00\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59627627010727, 'lng': -48.52045072010728}, 'southwest': {'lat': -27.59897592989272, 'lng': -48.52315037989272}}
ChIJ41yB8Ko5J5UR7ZAKH3kQEHE;Florianópolis/SC;Centro Socioeconômico - CSE UFSC;R. Roberto Sampaio Gonzaga - Trindade, Florianópolis;True;OPERATIONAL;-27.599245;-48.5217263;['Monday: 7:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59808737010728, 'lng': -48.52049677010728}, 'southwest': {'lat': -27.60078702989272, 'lng': -48.52319642989272}}
ChIJa6za61Q4J5URWz8KE1yO1L4;Florianópolis/SC;Legal Sciences Center - CCJ/UFSC;Campus Universitário Reitor João David Ferreira Lima, s/nº - Trindade;Indisponível;OPERATIONAL;-27.5984481;-48.5221421;Não disponível;{'northeast': {'lat': -27.59702087010728, 'lng': -48.52073957010727}, 'southwest': {'lat': -27.59972052989272, 'lng': -48.52343922989272}}
ChIJh7SdW1Q4J5UReJrQxIklHHg;Florianópolis/SC;Reitoria 2 da UFSC;R. Des. Vítor Lima, 222 - Trindade, Florianópolis;True;OPERATIONAL;-27.5970121;-48.5221089;['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed'];{'northeast': {'lat': -27.59574642010728, 'lng': -48.52082622010727}, 'southwest': {'lat': -27.59844607989272, 'lng': -48.52352587989272}}
